tic,tls_sde,period,depth_pct,odd_even_sig,secondary_sig,verdict
401838575,28.032342266261132,0.6301644217344942,0.9507488614960868,0.13969489149099393,24.3000708903373,secondary_eclipse(24.3sig)
304102181,18.65355347558666,0.6668855406865385,0.019224477630441772,0.11387465695780025,10.18628229309499,secondary_eclipse(10.2sig)
150102227,17.753768321375386,6.445149191414762,0.01674478192856821,1.115558889590851,-0.3144419286333202,no_eb_signature
231057252,17.73267755142783,0.6514798522534302,0.6607034491118324,0.03381481522615778,-12.058755435746773,no_eb_signature
246848355,13.68557096663959,12.452255634374968,0.1409349886784983,8.521783940738322,-7.218549434181863,odd_even(8.5sig)
111267568,12.793142924231374,0.7501795518115295,0.016095726512899144,0.28363011743739586,0.49866651274126234,no_eb_signature
79398126,12.300423203205078,12.688684244288298,0.0566165246373429,1.5444876362552178,8.878447285609626,secondary_eclipse(8.9sig)
150360766,12.094428092834564,1.3351059005147394,0.01232498415365546,0.7686134658685043,15.85688845656967,secondary_eclipse(15.9sig)
197890692,12.020162272943583,0.8967522768916103,0.20937470534098113,2.0996249771576854,15.867695825347797,secondary_eclipse(15.9sig)
114859570,11.966305680010612,0.7956803594939319,0.036601268323954717,0.19704419978026558,22.687835223404477,secondary_eclipse(22.7sig)
52307802,11.685908583889228,3.075501714296644,0.1881144281543623,0.5965407468795432,-1.2453151496009582,no_eb_signature
469939293,11.558082299506427,0.7674943913406254,1.65244476932217,0.20312960940269956,33.828757191074246,secondary_eclipse(33.8sig)
200657905,11.336329806953373,0.8993307173502043,0.11025039577483575,0.3097309149418568,2.33328532196089,no_eb_signature
355480244,11.32961771553324,19.36363554925607,0.021936777780851013,2.770953548784071,1.092422408409347,no_eb_signature
260266449,11.234955738475772,14.978772898022914,0.029229217499182614,0.3759025769866913,-2.5305542780114254,no_eb_signature
114818487,11.14353537245028,0.634888187603593,0.6766700735706954,0.8774809726564585,16.45772209634401,secondary_eclipse(16.5sig)
231912935,10.896219491835208,26.29994232470545,0.10782654869042618,0.28553130276458344,-0.6171956535948964,no_eb_signature
231704059,10.859957190448196,0.6124149838198054,0.025580053167961747,0.6677380789632442,-5.440804677743246,no_eb_signature
228507309,10.635297825934565,1.1099952181784059,0.8475524526974532,0.562463299826418,-4.525813555044876,no_eb_signature
206615548,10.55204321929417,19.437307027322372,0.021050087728646805,0.1643864301642602,-3.4854709742197447,no_eb_signature
167698166,10.188235630633974,14.766640188114373,0.05106011781261799,1.4540099405913687,0.9893291915935988,no_eb_signature
161168483,10.173820971184409,8.084609302635625,0.03849573600219758,0.9730309007378357,-0.3174048418025219,no_eb_signature
114858562,10.116377349611929,0.6922394632309954,0.4673878610568005,0.3659335700251116,11.166798947412126,secondary_eclipse(11.2sig)
370324073,10.109080371343522,11.713934650715835,12.887665584589136,42.605205161713336,-0.040266057937615146,odd_even(42.6sig);deep_eclipse(12.9%)
425883195,10.084799446790454,11.10270422509444,0.03997730932011612,0.049816001815370034,0.3411304970648815,no_eb_signature
207238086,9.832041236571689,0.9209165660207255,0.6825534080257767,0.5480013722640822,60.077709748567564,secondary_eclipse(60.1sig)
66435575,9.822920706364236,24.187642738365714,0.05204665802911457,2.5136198663384914,-9.33819355799838,no_eb_signature
394494795,9.75522974562858,12.688679879877888,0.06330558071256931,,-0.5798611605012739,no_eb_signature
279091054,9.664772313644216,18.177027569281265,0.08492027299906724,,-1.7061229235251758,no_eb_signature
234497476,9.616822141067216,1.0412707029487096,0.39429057217711394,0.30975911998301275,-14.420508850255068,no_eb_signature
100102303,9.595587144553916,1.198332074585095,0.030797030535378855,0.721976065867928,1.196027949027988,no_eb_signature
101932572,9.499323334517356,4.141127067150441,0.03274249639890758,0.6039175607928019,0.3963091228503269,no_eb_signature
279088539,9.421326464019629,13.119403844716146,0.03715272504096756,0.6556925601651626,-1.2336155940606846,no_eb_signature
322010023,9.371677947197728,3.803859530659808,0.07465878627328504,0.3827068692479222,3.2120083490281433,secondary_eclipse(3.2sig)
303981359,9.328674537866071,24.715120418454834,0.08078550405257179,2.7783150260026774,0.9632817428053116,no_eb_signature
139763851,9.298208190681123,7.026940572072103,0.197294987909713,0.24459043684900647,-2.353144111841275,no_eb_signature
150274632,9.28571799496986,15.866719226859948,0.07692381072654797,0.8295456897992621,-0.6273267720116794,no_eb_signature
260476107,9.258338121948608,15.995678423842177,0.03669165817443698,1.1268535988722794,1.9568043348101316,no_eb_signature
180723706,9.220418850651242,1.4682985701389861,0.021682624755114954,0.3873354154171646,-3.7249736046880058,no_eb_signature
279052786,9.135690561942509,14.685522113195612,0.03177844144022224,0.4339278285046803,-1.0356554805058884,no_eb_signature
53894240,9.120959053344096,12.429461884333977,0.19981525628454122,,-1.215518926938436,no_eb_signature
92595555,9.11820577124247,11.984274008867205,0.2112839640806552,1.0778728096453638,-9.795449181538645,no_eb_signature
212381172,9.054791422999214,1.2726682887367087,1.4994560645889332,0.8777236091803375,0.8460727158272685,no_eb_signature
70723644,9.035007508813251,7.23110154839117,0.13222860746573417,23.129764306732735,0.3107037533511199,odd_even(23.1sig)
150359212,9.00080192865434,26.583023656931363,0.041958571598721406,,-2.799241893087616,no_eb_signature
