tic,tls_sde,period,depth_pct,max_event_snr,period_fap,catalog_check,secondary_check,oddeven_check,depth_check,reason_retained
303981359,9.328674537866071,24.71512041845483,0.0807855040525717,6.652509269907869,0.1468531468531468,"no Prsa2022/VSX match (15"" cone)",1.0sig (<3 keep),2.8sig (<3 keep),0.081% (<5% keep),passed catalog + secondary + odd-even + depth checks; no EB signature
139763851,9.298208190681123,7.026940572072103,0.197294987909713,5.569207707253371,0.1668331668331668,"no Prsa2022/VSX match (15"" cone)",-2.4sig (<3 keep),0.2sig (<3 keep),0.197% (<5% keep),passed catalog + secondary + odd-even + depth checks; no EB signature
150274632,9.28571799496986,15.866719226859948,0.0769238107265479,6.911511818816168,0.1548451548451548,"no Prsa2022/VSX match (15"" cone)",-0.6sig (<3 keep),0.8sig (<3 keep),0.077% (<5% keep),passed catalog + secondary + odd-even + depth checks; no EB signature
260476107,9.258338121948608,15.995678423842175,0.0366916581744369,4.949937235993316,0.8361638361638362,"no Prsa2022/VSX match (15"" cone)",2.0sig (<3 keep),1.1sig (<3 keep),0.037% (<5% keep),passed catalog + secondary + odd-even + depth checks; no EB signature
180723706,9.220418850651242,1.468298570138986,0.0216826247551149,2.9405685910150066,0.3256743256743257,"no Prsa2022/VSX match (15"" cone)",-3.7sig (<3 keep),0.4sig (<3 keep),0.022% (<5% keep),passed catalog + secondary + odd-even + depth checks; no EB signature
279052786,9.135690561942509,14.685522113195612,0.0317784414402222,4.553751647366365,0.3356643356643357,"no Prsa2022/VSX match (15"" cone)",-1.0sig (<3 keep),0.4sig (<3 keep),0.032% (<5% keep),passed catalog + secondary + odd-even + depth checks; no EB signature
53894240,9.120959053344096,12.429461884333977,0.1998152562845412,9.381421828650954,0.3536463536463536,"no Prsa2022/VSX match (15"" cone)",-1.2sig (<3 keep),nansig (<3 keep),0.200% (<5% keep),passed catalog + secondary + odd-even + depth checks; no EB signature
92595555,9.11820577124247,11.984274008867205,0.2112839640806552,,,"no Prsa2022/VSX match (15"" cone)",-9.8sig (<3 keep),1.1sig (<3 keep),0.211% (<5% keep),passed catalog + secondary + odd-even + depth checks; no EB signature
212381172,9.054791422999214,1.272668288736709,1.4994560645889332,3.1126084632486233,0.3576423576423576,"no Prsa2022/VSX match (15"" cone)",0.8sig (<3 keep),0.9sig (<3 keep),1.499% (<5% keep),passed catalog + secondary + odd-even + depth checks; no EB signature
150359212,9.00080192865434,26.583023656931363,0.0419585715987214,4.579980720603354,0.5334665334665335,"no Prsa2022/VSX match (15"" cone)",-2.8sig (<3 keep),nansig (<3 keep),0.042% (<5% keep),passed catalog + secondary + odd-even + depth checks; no EB signature
