key,kind,routed,P_hat,obs_R,n_events,fap_ref,fap_evt,P_true,period_match,tic,baseline,bbin,fap_lut
161173424_P0.5_R2_0,inj,True,0.5016665116154759,0.6333187092362659,25.0,0.0019980019980019,1e-06,0.5,True,161173424,27.883461678240565,0,0.001999500124968758
220595865_P0.5_R2_1,inj,True,0.5031317438797117,0.5647443723078632,22.0,0.0709290709290709,0.0814155990698548,0.5,True,220595865,27.407019942133047,0,0.06323419145213696
281786416_P0.5_R2_3,inj,True,0.5013412806693034,0.585216416646081,25.0,0.0089910089910089,0.0542490386522837,0.5,True,281786416,27.406754027775605,0,0.011997000749812546
402042483_P0.5_R2_5,inj,True,0.5002258018282735,0.8761243045135371,37.0,0.0009990009990009,1e-06,0.5,True,402042483,27.4071219791731,0,0.00024993751562109475
251886984_P0.5_R2_6,inj,True,0.5054795244075507,0.609010675504026,18.0,0.0259740259740259,0.0165349373347873,0.5,False,251886984,27.407341898149753,0,0.08672831792051987
207174980_P0.5_R2_7,inj,True,0.502864160952172,0.6408587577731675,27.0,0.0029970029970029,1e-06,0.5,True,207174980,27.40739983796084,0,0.0012496875781054736
197885600_P0.5_R2_4,inj,True,0.5003047671001958,0.8910088022005355,67.0,0.0009990009990009,1e-06,0.5,True,197885600,55.27689126157202,3,0.00024993751562109475
281815410_P0.5_R2_8,inj,True,2.411629534721298,0.9694051223919732,4.0,0.0839160839160839,0.1485148514851485,0.5,False,281815410,27.40675826388906,0,0.30492376905773555
183532275_P0.5_R2_9,inj,True,0.5019575400281855,0.7278824833602274,7.0,0.3396603396603396,0.3663366336633663,0.5,True,183532275,27.406921585650707,0,0.8090477380654836
55855870_P0.5_R2_10,inj,True,0.5017315526078482,0.6567652275638399,11.0,0.1768231768231768,0.2079207920792079,0.5,True,55855870,27.34991136573808,0,0.41464633841539617
241765380_P0.5_R2_11,inj,True,0.9200177927496468,0.5716082863048529,13.0,0.2967032967032967,0.2871287128712871,0.5,False,241765380,27.350501504624845,0,0.6498375406148463
317128444_P1.0_R2_14,inj,True,0.9962535589287176,0.6471256830630983,19.0,0.0219780219780219,0.0173354680950764,1.0,True,317128444,27.8828131944465,0,0.02224443889027743
369706317_P0.5_R2_2,inj,True,0.5007904453991003,0.5889443713090503,86.0,0.0009990009990009,1e-06,0.5,True,369706317,84.08889861110947,3,0.00024993751562109475
355508749_P1.0_R2_16,inj,True,0.5000049591587765,0.6597376070127986,20.0,0.0069930069930069,1e-06,1.0,True,355508749,27.40685591435613,0,0.00899775056235941
11615061_P1.0_R2_17,inj,True,1.0981135571488183,0.4026103275854966,19.0,0.6943056943056943,0.6732673267326733,1.0,False,11615061,27.34704579861136,0,0.9740064983754061
183620516_P1.0_R2_13,inj,True,0.5011029099534912,0.5246584063621581,19.0,0.1808191808191808,0.1386138613861386,1.0,True,183620516,55.2764248611129,3,0.5931017245688578
198078007_P1.0_R2_18,inj,True,0.6168927567488729,0.6629310915290434,8.0,0.6903096903096904,0.7425742574257426,1.0,False,198078007,27.35027923611051,0,0.88127968007998
199729914_P1.0_R2_12,inj,True,0.5002093262887407,0.8013941056930384,47.0,0.0009990009990009,1e-06,1.0,True,199729914,55.27627435185423,3,0.00024993751562109475
136845966_P1.0_R2_20,inj,True,0.5033362237052665,0.811839180171809,11.0,0.0159840159840159,0.0126135442121991,1.0,True,136845966,27.349482476849516,0,0.020494876280929768
206477756_P1.0_R2_21,inj,True,0.5008693319623708,0.8294919201727518,19.0,0.0009990009990009,1e-06,1.0,True,206477756,27.350238391198218,0,0.00024993751562109475
441493794_P1.0_R2_22,inj,True,0.5014788479695803,0.7903254517972773,19.0,0.0009990009990009,1e-06,1.0,True,441493794,27.350010347217903,0,0.00024993751562109475
469966859_P1.0_R2_15,inj,True,0.5011792952480884,0.6175636505224136,42.0,0.0009990009990009,1e-06,1.0,True,469966859,56.22063306713244,3,0.00024993751562109475
270653912_P1.0_R2_19,inj,True,0.8877228712766703,0.4564812630473585,18.0,0.5084915084915085,0.4356435643564356,1.0,False,270653912,27.406622152775526,0,0.8552861784553861
