key,kind,routed,P_hat,obs_R,n_events,fap_ref,fap_evt,P_true,period_match
100103683,null,True,0.5823918429654025,0.3678020154460627,26.0,0.913086913086913,0.9603960396039604,,
100123131,null,True,21.032925990070293,0.32861094149241254,33.0,0.978021978021978,1.0,,
100102303,null,True,0.7983101479934436,0.33157192771227306,32.0,0.97002997002997,0.9801980198019802,,
100067280,null,True,0.5408810217352826,0.47055397624307005,27.0,0.22877122877122877,0.31683168316831684,,
100106368,null,True,0.6388971876860139,0.4572651982692244,28.0,0.35364635364635366,0.36633663366336633,,
100101948,null,True,0.5021111815304421,0.42421207823608365,34.0,0.3806193806193806,0.39603960396039606,,
101014057,null,True,1.121359161211638,0.5669634270133618,12.0,0.7152847152847153,0.693069306930693,,
100921427,null,True,0.7141874604952665,0.6571441742328262,13.0,0.31368631368631367,0.3465346534653465,,
101017159,null,True,0.768674955663164,0.5127945671787718,12.0,0.7562437562437563,0.7920792079207921,,
100975203,null,True,0.5191902731567484,0.6909096156124621,9.0,0.2937062937062937,0.297029702970297,,
100123854,null,True,0.5167715745749591,0.6283351900569243,8.0,0.6303696303696303,0.7128712871287128,,
101017638,null,True,5.116625020608066,0.6768773030413139,12.0,0.16483516483516483,0.0904294181539187,,
101058021,null,True,0.683359057398731,0.6768521818429789,8.0,0.6503496503496503,0.6831683168316832,,
101099031,null,True,2.987559098550719,0.9195059550318219,4.0,0.3046953046953047,0.36633663366336633,,
101101390,null,True,0.7044512456797611,0.51711158540584,14.0,0.7712287712287712,0.7623762376237624,,
101070347,null,True,0.6010630956470997,0.49147217502301066,14.0,0.8321678321678322,0.8118811881188119,,
101139085,null,True,0.578297064570897,0.7865168076990889,9.0,0.16283716283716285,0.18811881188118812,,
101126095,null,True,0.6328442330608821,0.6598549315757009,10.0,0.5894105894105894,0.6138613861386139,,
101933280,null,True,2.387595462291758,0.6880078489006378,10.0,0.6183816183816184,0.6435643564356436,,
101930558,null,True,0.5078489834060745,0.44173840260103725,16.0,0.8591408591408591,0.900990099009901,,
101932572,null,True,0.6855634462959703,0.5256082442439971,15.0,0.3996003996003996,0.49504950495049505,,
101944261,null,True,1.756965712210167,0.6283358178997818,11.0,0.4975024975024975,0.594059405940594,,
101948395,null,True,0.881673654272304,0.5290375674145482,12.0,0.7302697302697303,0.7623762376237624,,
101963736,null,True,0.7550243689297407,0.5955594814600425,12.0,0.1978021978021978,0.18811881188118812,,
10819194,null,True,0.6090756963895624,0.6917943116576595,7.0,0.5544455544455544,0.5742574257425742,,
10819945,null,False,,,,,,,
102049230,null,True,0.8752956790860368,0.6158303927029969,14.0,0.2757242757242757,0.297029702970297,,
102029678,null,True,1.678887832480364,0.38185391770943,18.0,0.9790209790209791,0.9702970297029703,,
10838083,null,True,1.454500375032471,0.615854219146979,9.0,0.6643356643356644,0.6732673267326733,,
111245072,null,True,0.6485942834021993,0.6101443441167952,13.0,0.3156843156843157,0.37623762376237624,,
111267568,null,True,1.1382895281571368,0.9918190008946336,3.0,0.14785214785214784,0.13861386138613863,,
102063797,null,True,0.7173617248216195,0.3695755133834646,29.0,0.8661338661338661,0.8613861386138614,,
102070608,null,True,0.7306763365354079,0.4356130936773147,28.0,0.38961038961038963,0.36633663366336633,,
102086414,null,True,0.9653718168498089,0.38631092739577344,25.0,0.8761238761238761,0.9306930693069307,,
114750474,null,True,0.544695853098331,0.8625154679670021,11.0,0.061938061938061936,0.05349117973260046,,
114818789,null,True,2.399406743225036,0.6396427818566596,10.0,0.38461538461538464,0.4158415841584158,,
114918596,null,True,1.1347356561447925,0.5238735350425704,13.0,0.6913086913086913,0.7029702970297029,,
114952667,null,True,3.37249155923841,0.999980840703553,3.0,0.061938061938061936,0.025481644133129228,,
114949823,null,True,10.715297116736188,0.5957877161914465,11.0,0.5274725274725275,0.5544554455445545,,
114948814,null,True,0.7927785847288944,0.4608785735143901,17.0,0.8111888111888111,0.8514851485148515,,
114953091,null,True,0.5392548491537932,0.6991246816777953,11.0,0.08591408591408592,0.05901436062652067,,
11518255,null,True,1.9489945335420549,0.8027799326018998,8.0,0.35364635364635366,0.31683168316831684,,
115012786,null,True,0.5047133196206136,0.6863724865051872,13.0,0.056943056943056944,0.06454888898769864,,
115273603,null,True,0.5734281782265984,0.5054160822368086,14.0,0.7242757242757243,0.7326732673267327,,
115043101,null,True,0.5701407704658874,0.7030843944232775,11.0,0.1928071928071928,0.15841584158415842,,
115150962,null,True,0.5319987266809072,0.5813163947337865,13.0,0.7032967032967034,0.6138613861386139,,
115273621,null,True,1.421423683878466,0.761322069747814,6.0,0.47052947052947053,0.504950495049505,,
115276582,null,True,0.6173481640820725,0.5735329554259048,12.0,0.6183816183816184,0.6732673267326733,,
115284339,null,True,0.6914913220034492,0.6035484527149227,10.0,0.6183816183816184,0.6039603960396039,,
11528214,null,True,1.7335458837137,0.6974918329655724,10.0,0.06993006993006994,0.07798249428237763,,
115320495,null,True,0.6357930335452658,0.7296390598372993,10.0,0.16783216783216784,0.31683168316831684,,
115321756,null,True,1.5415083778337002,0.7262403430933276,8.0,0.4955044955044955,0.45544554455445546,,
115350058,null,True,0.6964815284048972,0.564605041818642,12.0,0.6803196803196803,0.7128712871287128,,
11545988,null,True,0.6444941582580334,0.5113916307990486,11.0,0.7882117882117882,0.8316831683168316,,
11557550,null,True,2.0536929413362297,0.45710997334370806,13.0,0.8291708291708292,0.8217821782178217,,
115692561,null,True,0.9617029841466531,0.6317339595238686,11.0,0.2127872127872128,0.1485148514851485,,
11615061,null,True,2.4282852750946597,0.6036077135583271,12.0,0.2817182817182817,0.2871287128712871,,
115693639,null,True,1.5488480861968275,0.5633781092208218,13.0,0.5784215784215784,0.5247524752475248,,
11637281,null,True,0.6988242272216074,0.5963465297832161,11.0,0.38961038961038963,0.40594059405940597,,
11645778,null,True,0.8097407651156129,0.5839325018851644,10.0,0.5854145854145855,0.5742574257425742,,
11649564,null,True,1.2780912942562628,0.7118767020357087,8.0,0.44255744255744256,0.5247524752475248,,
11649619,null,True,0.5607014048973936,0.607622931991591,14.0,0.34565434565434566,0.32673267326732675,,
11649757,null,True,0.7878080910305573,0.999867834783756,3.0,0.005994005994005994,0.0024465140068760456,,
11651884,null,True,0.7531798909624352,0.5855025698718623,12.0,0.5764235764235764,0.6435643564356436,,
117549467,null,True,5.784838358610841,0.9811060585453079,3.0,0.2127872127872128,0.21782178217821782,,
117643471,null,True,0.5912813558855301,0.5612661985659841,13.0,0.4775224775224775,0.44554455445544555,,
118826478,null,True,0.7105415475659461,0.5544299396026167,16.0,0.3696303696303696,0.4158415841584158,,
120414543,null,True,0.649256520541025,0.4784247620389762,15.0,0.7332667332667333,0.7227722772277227,,
120430207,null,True,0.7032669359718537,0.4312048589346047,22.0,0.7972027972027972,0.8712871287128713,,
120461208,null,True,0.9314229408498383,0.4778715869299437,17.0,0.7442557442557443,0.7821782178217822,,
120461410,null,True,0.9206711516639989,0.49591042351472536,15.0,0.6513486513486514,0.6633663366336634,,
120505367,null,True,0.6259480749628866,0.8915977519597341,4.0,0.5414585414585414,0.5346534653465347,,
120565939,null,True,2.749098217175589,0.54034201599919,17.0,0.21578421578421578,0.16831683168316833,,
120584779,null,True,0.5303390094501961,0.3926912268113085,20.0,0.9170829170829171,0.9405940594059405,,
120608824,null,True,5.954623549927025,0.6867681580213372,13.0,0.12987012987012986,0.08822182041576498,,
121423680,null,True,0.8800807285139018,0.4780802045532557,15.0,0.7672327672327672,0.693069306930693,,
12377867,null,True,0.9158137937180573,0.828300514725702,12.0,0.008991008991008992,0.012567675698724698,,
12393811,null,True,2.90552619443406,1.0,2.0,0.12687312687312688,1e-06,,
12393831,null,True,2.217536534796983,0.6247964987334544,14.0,0.07892107892107893,0.1188118811881188,,
12418307,null,True,0.8017268589588653,0.635023670185337,13.0,0.21678321678321677,0.22772277227722773,,
12434574,null,True,2.9092383130254236,0.9400280221566042,8.0,0.03896103896103896,0.014957814536249196,,
12509612,null,True,0.5358056856714601,0.5950601172136594,14.0,0.3276723276723277,0.3465346534653465,,
136842674,null,True,0.7885205348822572,0.5417989180712898,11.0,0.7972027972027972,0.7920792079207921,,
12787544,null,True,0.5409601143178641,0.7033571095353616,11.0,0.14185814185814186,0.1188118811881188,,
136845966,null,True,0.5069564621670327,0.716469127105738,11.0,0.12287712287712288,0.1485148514851485,,
138711927,null,True,2.4046290973432267,0.5123410645017114,16.0,0.6713286713286714,0.6831683168316832,,
139122986,null,True,0.5321639756513566,0.6202011543950147,12.0,0.2787212787212787,0.31683168316831684,,
139700604,null,True,0.7347710946048274,0.9490062028376541,3.0,0.2777222777222777,0.25742574257425743,,
139763851,null,True,7.372007302676877,0.7931528927763347,9.0,0.16683316683316685,0.18811881188118812,,
139844443,null,True,0.8657165449174264,0.538715818759225,16.0,0.43456543456543456,0.45544554455445546,,
139987152,null,True,0.8321959884488578,0.5396209053623963,13.0,0.4115884115884116,0.39603960396039606,,
143923307,null,True,2.320449995129688,0.5883700973817558,13.0,0.2987012987012987,0.3564356435643564,,
143952604,null,True,0.5709807062006275,0.999980977896528,3.0,0.07992007992007992,0.1485148514851485,,
143923380,null,True,0.5624903615080535,0.5989503296710036,15.0,0.2047952047952048,0.16831683168316833,,
144102161,null,True,1.4492507413263136,0.48638552121144607,14.0,0.6773226773226774,0.7128712871287128,,
144102233,null,True,0.7866456669201264,0.5747854096038958,11.0,0.5474525474525475,0.5742574257425742,,
144068927,null,True,10.588659863424807,0.6263604808419855,12.0,0.5414585414585414,0.5247524752475248,,
144103775,null,True,2.6069920718882713,0.7353005420811479,4.0,0.7482517482517482,0.7722772277227723,,
144284767,null,True,2.1871187031249804,0.6873374699234333,9.0,0.3986013986013986,0.44554455445544555,,
144308900,null,True,0.5606303491006758,0.4800034726078082,19.0,0.5014985014985015,0.5247524752475248,,
