tic,P,Rp,routed,Lambda,shape_pass,period_match,n_transits
237356492,8.0,4,True,9.29213072791477,True,False,19.0
231839537,8.0,4,True,4.736298014280406,True,False,53.0
155895287,8.0,4,True,165.91721131982007,True,True,3.0
158536220,8.0,4,True,25.021943190953863,True,False,3.0
92258567,2.0,8,True,1535.3198970678714,True,False,11.0
231045282,2.0,8,True,4460.122872723283,True,True,20.0
144434171,2.0,8,True,7095.972120367579,True,True,12.0
441491515,2.0,8,True,396.84988835556527,True,False,8.0
231044412,2.0,8,True,15770.106911918509,False,False,81.0
120505367,2.0,8,True,1019.5315809848025,True,True,12.0
24270027,2.0,8,True,818.8924694082248,True,False,9.0
260604509,2.0,8,True,272.36082500952114,False,True,19.0
44624744,2.0,8,True,1945.7323587709093,True,True,12.0
156087003,2.0,8,True,557.8639577330175,False,True,11.0
389131517,2.0,8,True,401.27140149271486,True,True,10.0
144446304,2.0,8,True,449.52592171184267,True,True,11.0
52016952,4.0,8,True,343.32444786094914,False,False,6.0
406353280,4.0,8,True,220.94679937718652,False,False,7.0
284083051,4.0,8,True,263.5726607070685,True,False,28.0
143923307,4.0,8,True,81.98490125418732,False,False,6.0
149011533,4.0,8,True,2522.8586575319837,True,False,6.0
117643471,4.0,8,True,1121.3103992988447,True,True,17.0
37774136,4.0,8,True,325.7790797162692,False,False,4.0
167797589,4.0,8,True,905.6243641920353,True,True,15.0
70788069,4.0,8,True,34.160613622912145,True,False,6.0
98659013,4.0,8,True,124.7081610780086,False,True,3.0
115284339,4.0,8,True,188.87494566801772,False,False,4.0
219334470,4.0,8,True,519.7359611691448,False,False,25.0
336876701,2.0,1,False,0.0,False,False,
98678529,2.0,1,False,0.0,False,False,
380436218,2.0,1,False,0.0,False,False,
52315024,2.0,1,False,0.0,False,False,
206350311,2.0,1,True,2.43404586902713,True,False,6.0
181454895,2.0,1,True,11.637739704671132,True,False,4.0
12434574,2.0,1,False,0.0,False,False,
40103277,2.0,1,True,0.7923425286858375,True,False,28.0
220394878,2.0,1,False,0.0,False,False,
92706840,2.0,1,True,5.852212750244387,False,False,40.0
144434171,2.0,1,True,6.776443461314628,True,False,7.0
24270027,2.0,1,False,0.0,False,False,
