tic,n_events_ge2,max_event_snr,period_fap,tls_sde,ra,dec,Tmag,Teff,rad
100103683,26,7.166872139530892,0.913086913086913,5.644304819252204,24.7051062679578,-47.6786185941362,10.4134,5876.0,1.00528
114750450,18,3.2294676655405015,0.7582417582417582,5.2911902972284315,359.34562801733,-18.2288297656231,11.6306,4246.1,0.583677
114918596,13,5.902239919141729,0.6913086913086913,6.050197461001063,314.899194579564,-39.011353915331,10.0727,5674.0,0.784495
114990385,10,3.5359818745785003,0.0779220779220779,4.611701285401086,315.511992978259,-38.1883096207077,9.0649,6656.0,1.38859
115114717,9,3.4216637241492283,0.4655344655344655,6.632417263299975,316.808802780154,-38.9040812262157,7.9429,6089.0,1.52748
115276107,4,3.7396275949650137,0.0889110889110889,3.8980147012842448,26.2170241120306,-41.3525598584011,10.5115,4372.0,0.655362
117875969,11,3.50226604696514,0.5724275724275725,6.536619649529722,10.0084580386284,-38.9461959394309,7.9118,7779.0,1.92417
120414503,13,3.215557952288703,0.1998001998001998,4.345384899173679,0.0859120377846383,-41.2978211624881,8.7024,5698.0,1.50081
12393723,17,3.005141440991334,0.0019980019980019,7.753776472322324,1.21921281103356,-29.11174384172,12.9543,5476.0,1.14523
12470520,19,3.3163984757544416,0.7042957042957043,5.788118952415966,3.34692429627074,-27.7738550495741,10.2827,5226.0,0.905611
12773534,10,3.717451933794043,0.1888111888111888,7.320918427232436,337.22311740132,-16.1520081120524,8.7144,9336.0,2.49537
139700906,16,3.3893466823819893,0.0249750249750249,8.116319777412402,322.520809953687,-52.1349558897236,7.5648,7985.0,4.44345
144386555,15,3.111590079789956,0.7372627372627373,4.880192533033701,357.350304220844,-45.8449071898701,9.5957,5748.0,0.862811
144435085,10,3.9107015998250194,0.6683316683316683,4.361288386473597,358.7208294336,-41.9978769262183,8.0998,5955.0,1.20694
150031766,28,3.3493113731605098,0.6263736263736264,5.91221426543618,91.0577100100082,-63.8079118243785,11.2252,4641.0,0.804075
150065244,28,3.7699782804534543,0.2477522477522477,7.100585630404964,91.6157546446277,-63.3129095472427,9.817,5856.0,1.08488
150102227,28,3.5520839642473776,0.7642357642357642,17.753768321375386,91.9503376486792,-64.4415880575628,8.7661,6363.0,2.52378
150191881,18,4.910562586737929,0.8181818181818182,5.714486710285345,93.9531455483988,-65.1176945639717,10.3683,5331.36,1.23107
150429481,23,3.283913876035138,0.6143856143856143,5.970873076125978,96.991833568214,-63.1897106577678,9.2461,6145.0,2.2803
150430275,44,5.004263885148793,0.5714285714285714,5.963825096804495,97.2173916817395,-61.5798046372273,11.3358,6496.06,1.66569
155951271,14,2.8492664727792105,0.2567432567432567,4.979747578449795,6.44600970372417,-49.7299237172715,9.3333,5958.2,1.35993
155951632,23,3.052559335369279,0.94005994005994,5.838721769402662,6.66935111657715,-48.1805457555964,10.4175,5368.0,2.16059
156003626,11,3.930233580684886,0.4315684315684315,5.817910243618948,8.64089034254121,-49.9281542728115,10.2667,5784.0,0.896064
160069047,13,2.804877064837368,0.6053946053946054,5.556182658204569,345.895024921406,-36.0832157072789,10.1349,5720.0,1.08291
161209504,16,4.478135950638025,0.4765234765234765,8.02396666384,340.662605843974,-52.5118320628375,9.5549,5758.0,1.03822
161459089,13,6.875065370360446,0.6863136863136863,7.079905852321808,346.134896013851,-48.2581616462126,10.2025,5113.0,0.778979
167526477,19,3.328133460219925,0.3096903096903097,6.416522220635502,100.38834174734,-60.687975295557,7.9743,6409.23,2.34399
167813804,36,6.770477605570474,0.4445554445554445,8.157564279931417,105.215930832185,-60.0289861159327,9.3283,5316.0,0.859361
179678378,9,3.4857103157182348,0.3006993006993007,4.852180402582291,13.433274269745,-40.9512455159375,10.715,4123.0,0.744531
180999563,25,3.0145398637958873,0.5404595404595405,6.794473870432434,16.3497282035878,-37.2304225839097,10.4019,5585.0,1.04521
183529721,18,3.1733912522839307,0.5744255744255744,5.537647968896657,359.531496193858,-34.487996698499,11.1786,5101.0,0.697446
184137441,2,2.703059102233965,0.1318681318681318,4.797416008113804,22.2757880688964,-72.194479005673,9.2909,6095.1,3.8266
184398115,5,3.763209222665497,0.5294705294705294,4.896331825589259,29.5185000427779,-43.0301643633409,9.4627,5037.0,1.18864
188544142,1,2.009026408761887,,4.715089548970758,338.680127489162,-16.6697924806061,12.4266,3329.0,0.300141
188570399,16,5.283459895470215,0.2167832167832167,4.585325927009261,338.949060862845,-15.6819926003138,9.65629,5563.2,1.19132
197783882,14,3.5470334838265347,0.5194805194805194,5.034348985286692,327.378209070582,-55.223703814434,9.5767,5686.0,1.00157
197809777,13,2.973054760148778,0.6203796203796204,4.811760858136426,53.9894522096402,-57.3328305418318,9.3058,6637.0,1.77177
197829601,30,4.607341119994122,0.6993006993006993,6.757599345870872,54.1347309985723,-55.1493188109221,9.4369,6103.0,1.20683
199731707,22,3.3880108376900355,0.4875124875124875,6.189052722813626,21.5144642247767,-45.4200628572394,11.0873,5427.0,0.740199
199735836,29,3.312618717882315,0.6603396603396603,5.707328674032261,22.7586639069771,-47.2642673330218,8.7449,6060.1,2.03293
200742257,12,3.4249018957047777,0.4135864135864135,8.358310256138028,49.0109763363242,-53.8392317435883,10.9824,4424.0,0.753903
200769811,12,3.298288700617336,0.0069930069930069,13.638087866582076,50.3969778677569,-53.8328661432909,13.4031,3197.0,0.341701
200782823,10,3.077089911212568,0.8401598401598401,5.745478596624909,51.0848347852543,-50.3895376553962,9.9231,5847.0,1.33184
200802812,12,2.8966384287594407,0.2187812187812187,6.491009908601538,52.5286904783908,-48.586911855452,14.6574,2865.0,0.135671
204584365,8,2.8243411913792555,0.1068931068931069,5.710177401654453,327.993668674262,-30.316592126252,7.55721,7096.0,1.5924
206466813,13,4.897903156896326,0.5424575424575424,5.637877457860628,56.8355613518846,-51.6526557981003,13.5526,3180.0,0.220555
