cost_full,cost_route,cost_mf,confirmed_cheap,cost_comb
37.88229370804038,10.234731375006959,0.0,False,48.11702508304734
330.57765087496955,26.498355792020448,0.0,False,357.07600666699
414.2379581669811,28.610063708969392,0.0,False,442.8480218759505
32.41780141700292,9.467727500014007,0.0,False,41.88552891701693
39.37621829198906,10.594305167032871,0.0013449590187519789,True,10.595650126051623
174.74007954099216,20.64588762499625,0.0023567500174976885,True,20.648244375013746
182.4480834589922,21.689591708010994,0.0026479160296730697,True,21.692239624040667
37.842704833019525,10.566331917012576,0.0,False,48.4090367500321
124.11792583303759,17.280771791003644,0.0,False,141.39869762404123
46.36028808297124,11.064870041038375,0.001417415973264724,True,11.06628745701164
45.14182112499839,10.3666887920117,0.0013079589698463678,True,10.367996750981547
35.42953495797701,9.571428166003898,0.0,False,45.00096312398091
