tic,white,red,n_events,routed
313934195,0.0,0.0,0,False
401985735,0.0,0.0,0,False
164772943,0.18748150439275982,0.16089042544054036,2,True
279160404,0.0,0.0,0,False
254302983,0.0,0.0,0,False
277911424,0.0,0.0,0,False
237356492,0.0,0.0,0,False
355480244,2.092348542616727,1.8189381467908194,2,True
405428615,0.0,0.0,0,False
11649619,3.053639769432139,2.923484411554393,2,True
268751690,0.0,0.0,0,False
89018360,0.0,0.0,0,False
289626783,3.7600263453440133,3.7915631736921127,2,True
66412048,0.0,0.0,0,False
421937394,0.0,0.0,0,False
380436218,0.0,0.0,0,False
396695653,0.0,0.0,0,False
150359212,1.2711891799435409,1.0790305859348162,4,True
219337000,0.0,0.0,0,False
218967667,0.0,0.0,0,False
150357290,0.0,0.0,0,False
92228046,0.0,0.0,0,False
144387241,0.0,0.0,0,False
161376469,0.0,0.0,0,False
183529176,0.0,0.0,0,False
11615061,0.0,0.0,0,False
266640615,1.3791829944105656,1.2349129187943508,2,True
270481071,0.0,0.0,0,False
281574579,0.0,0.0,0,False
66411836,0.0,0.0,0,False
265468668,0.0,0.0,0,False
389131517,0.0,0.0,0,False
220413881,0.0,0.0,0,False
40043612,2.8394437517081728,2.407794536252989,3,True
402028212,0.0,0.0,0,False
79405578,0.0,0.0,0,False
114818789,5.484545427652234,4.143402295353581,2,True
267002000,0.0,0.0,0,False
206467068,0.875565601679617,0.6289167218535189,4,True
260507598,6.094646603136206,4.781350976863463,2,True
408013652,0.0,0.0,0,False
115012786,0.0,0.0,0,False
92497469,6.392442160913442,5.5164362020764575,2,True
260604507,0.0,0.0,0,False
231059941,0.0,0.0,0,False
358250131,0.0,0.0,0,False
144434171,0.0,0.0,0,False
279362216,0.0,0.0,0,False
98672854,0.0,0.0,0,False
382413530,0.0,0.0,0,False
270260170,0.0,0.0,0,False
100067280,3.051814861885218,3.204898949221517,2,True
220407530,0.0,0.0,0,False
220455309,0.0,0.0,0,False
120608824,0.0,0.0,0,False
