tic,label,P_true,n_events,p_hat,p_full,sde_full,cost_full,sde_eps0.01,npd_eps0.01,cost_eps0.01,sde_eps0.05,npd_eps0.05,cost_eps0.05,sde_eps0.1,npd_eps0.1,cost_eps0.1,sde_eps0.2,npd_eps0.2,cost_eps0.2,depth_snr,cost_depth_snr
231853796,planet_R4,2.0,25,2.004745892286854,1.999596553799661,21.692674800522088,188.9984265420353,2.4117758705245103,34,2.1039686250151135,5.292014787274767,170,6.662414166959934,7.607762866950198,339,12.36499862500932,10.871058110268038,691,24.363108916964848,22.57074887411713,0.017557875020429492
251828729,planet_R4,2.0,12,2.0113160980401332,1.9995410515790193,17.74883666682372,38.95760329102632,1.972282608888023,16,0.9233209999511018,4.032469051942719,78,1.8138034580042586,5.736453345038129,158,3.25342141703004,8.193570665559465,320,6.106029624992516,33.94100833004754,0.010002875002101064
152475818,planet_R4,2.0,8,0.6628363987634859,1.999970809755808,16.409199773448393,18.32295870804228,1.8615900018085718,16,0.46442862501135096,4.144080064652083,81,1.0023362079518847,5.793490630111138,157,1.629339125007391,6.9271259545092185,224,2.297248499991838,16.485978227904027,0.007960457995068282
37745685,planet_R4,2.0,5,2.045177354048297,2.006427188091871,9.433932349456867,16.844449374999385,2.086015638792888,11,0.35596870799781755,2.500300628962566,56,0.9074235410080291,3.5942089096764254,111,1.5719334169989452,5.040996012147589,227,2.977452832972631,6.986139501659412,0.007530583010520786
79395764,planet_R4,2.0,11,2.0183300825130686,2.000903450629263,14.159758028459523,38.3369697080343,1.85319798062082,16,0.7769419169635512,3.4020385584867197,80,1.719386167009361,4.810292450275702,160,3.1762013750267215,6.98303080197446,325,5.975879332982004,23.2788398974785,0.009992415958549827
167813804,planet_R4,2.0,32,0.500062747009045,1.9996772862851664,30.75380781295388,374.4052040000097,0.0,1,0.09770124999340624,0.0,1,0.09195929201086983,0.0,1,0.09038795798551291,0.0,1,0.09095945802982897,48.52305732183621,0.02487170899985358
246854655,planet_R2,2.0,2,7.965360539454878,1.9995560578471692,11.165075823537348,29.88572808302706,1.1670005857939059,10,1.2424376250128262,2.409370024196554,49,1.8488919159863144,3.2580776332075425,100,2.704340292024426,3.5697228707920337,202,4.4189737910055555,6.193301663552032,0.009656374983023852
355508749,planet_R2,2.0,0,1.9994926603245868,1.9994926603245868,6.686891828950304,34.065788791980594,1.4384150630223154,15,0.7583634170005098,3.3026982343246187,78,1.6570390419801697,4.432214939525008,158,2.8644805420190096,5.899885104435316,320,5.338411292003002,6.366879302865151,0.009789791947696358
267492210,planet_R2,2.0,0,2.2681184696346333,2.2681184696346333,5.860001161486109,30.17356754199136,1.0308823115197494,15,0.5828434170107357,1.8608391661835717,77,1.4186757499701343,2.775451938665162,154,2.416797832993325,4.0617083989818115,313,4.640952499990817,25.581639744982517,0.009928416984621435
469948126,planet_R2,2.0,1,2.001961130569368,2.001961130569368,7.21774664168212,33.52468349999981,1.6246807347974146,15,0.8169503330136649,3.8255895025398994,78,1.7158068330027163,4.991281461748645,156,2.8916440830216743,5.981088009130551,317,5.25293200003216,6.417419430537096,0.009935958019923419
175392087,null,,0,11.35290794192392,11.35290794192392,5.25484375996397,27.452225457993336,1.177032238006127,9,0.604796500003431,1.428619342639268,44,1.1360014579840936,1.601121347702214,88,1.8397404160350561,1.9187937135609414,142,2.7986642079777084,11.668894295139994,0.009248165995813906
120505367,null,,0,10.043474113304846,10.043474113304846,7.1374375320571115,25.810847249988,0.9681807107300219,9,0.5737896250211634,1.260781532439052,46,1.141596750007011,1.8851714439530214,92,1.894670750014484,2.7878936849168534,188,3.4143145410344005,21.666929686648235,0.009202999994158745
80340568,null,,0,7.87546316075521,7.87546316075521,6.351518374691001,24.995854209002573,2.7981477831479102,9,2.9993974999524653,5.743522722800638,50,3.5983538340078667,6.365182901755203,100,4.161515332991257,6.132198107422492,203,5.30878479097737,2.534275277148412,0.009303290979005396
219246146,null,,0,7.226365521757049,7.226365521757049,4.645256987686406,15.626638666028157,1.7753516645501577,7,1.4341514169937,3.1127583294618946,36,1.7642872500000522,4.170939634676929,74,2.1972712500137277,4.036215248308328,149,3.039463417022489,4.002188794480167,0.006885750044602901
316832207,null,,0,2.3970714982249883,2.3970714982249883,7.052803762695604,22.937931916036177,1.7195082236526162,15,1.3339219160261564,3.6865595024760185,75,1.7378954580053687,4.7183760151731,151,3.3011614159913734,5.692435966209665,308,4.009904499980621,3.2397032266868755,0.010027124953921884
469933397,null,,0,3.3289160733283385,3.3289160733283385,4.570641386276931,27.232595167006366,2.847137000453658,13,2.2201977079967037,4.6886790411061385,67,2.8262949169729836,5.23525657813496,136,3.7174234999693,4.746444685676864,276,5.316869666974526,2.3945447225443197,0.009749542048666626
