tic,period_days,radius_rearth,b,n_transits,routed,fap_ok,confirmed_cheap,rec_tls,rec_comb
150270977,4.0,8,0.0,20,True,True,True,True,True
268765642,16.0,1,0.6,2,True,False,False,False,False
150188659,16.0,1,0.3,2,False,False,False,False,False
251828912,16.0,2,0.0,2,True,False,False,False,False
24696180,8.0,8,0.6,7,True,False,False,True,True
220482148,16.0,2,0.3,2,False,False,False,False,False
248955543,16.0,2,0.3,2,False,False,False,False,False
199729914,8.0,12,0.0,7,True,False,False,True,True
115693639,16.0,2,0.0,2,False,False,False,False,False
160113035,16.0,4,0.0,2,True,False,False,True,True
149993861,8.0,4,0.0,10,True,True,True,True,False
161174069,16.0,4,0.0,2,True,False,False,False,False
70776480,16.0,4,0.3,2,True,False,False,False,False
100123131,16.0,2,0.6,4,False,False,False,False,False
40182390,16.0,8,0.0,2,True,False,False,True,True
3836364,16.0,8,0.3,2,True,False,False,False,False
20923934,16.0,8,0.0,2,False,False,False,False,False
279091054,16.0,4,0.3,4,True,False,False,False,False
389527466,16.0,8,0.6,2,True,False,False,False,False
161376469,16.0,8,0.3,2,True,False,False,True,True
228507309,16.0,12,0.0,2,True,False,False,False,False
100101948,16.0,4,0.6,4,True,False,False,True,True
11645778,16.0,12,0.0,2,False,False,False,False,False
218968119,16.0,12,0.3,2,True,False,False,True,True
375059160,8.0,8,0.3,10,True,True,True,True,False
218972061,16.0,12,0.3,2,True,False,False,False,False
150274632,16.0,1,0.3,5,True,False,False,False,False
150104808,16.0,1,0.0,5,True,False,False,False,False
150390619,16.0,12,0.6,5,True,True,True,True,False
