tic,P,Rp,white,red,routed,n_transits
40045054,2.0,4,0.0,0.0,False,9
402103411,2.0,4,7.0415378250841325,7.056049949739125,True,13
184449225,2.0,4,19.6132823757308,10.185880271958059,True,9
251844875,2.0,4,5.789401881753432,5.612718225209543,True,13
248955543,2.0,4,10.91764441210744,8.00192856581288,True,9
317128444,2.0,4,18.719447961202174,16.529202714201148,True,13
279092536,2.0,4,13.199979702138904,8.636229996935963,True,40
231839537,2.0,4,20.866753180821348,7.455073809852904,True,27
184137441,2.0,4,0.0,0.0,False,13
101101390,2.0,4,10.1493410945992,9.305304705613251,True,9
40083560,2.0,4,15.407822242250127,13.048771462447561,True,9
237886259,2.0,4,9.352894946112428,7.2679758967855586,True,13
262810040,2.0,4,5.730476983084941,5.253510482520976,True,9
389752285,2.0,4,7.950429797205557,6.899038410694086,True,13
369219891,2.0,4,10.483234348483288,8.572359825378943,True,13
120414543,2.0,4,17.025296973230777,17.948926090891234,True,13
114948814,2.0,4,46.327026584994236,43.315898034225796,True,13
273652136,2.0,4,18.10690219742312,13.434216124020079,True,13
80314959,2.0,4,12.536670642782362,12.352083253503464,True,13
251886567,2.0,4,15.09293292511959,12.356310485954399,True,13
228569826,2.0,4,17.54800830139894,13.702733775605584,True,13
155986202,2.0,4,36.59680132578667,27.915738098449086,True,13
117643471,2.0,4,13.783294913835363,11.922745235676967,True,13
120430207,2.0,4,7.3884351846861955,7.6249401393242895,True,13
80438267,2.0,4,11.89399265860426,10.095993828080555,True,13
40045054,4.0,4,0.0,0.0,False,5
402103411,4.0,4,4.619582413018389,4.607767567999154,True,7
184449225,4.0,4,45.08415514953813,24.08329110374867,True,5
251844875,4.0,4,0.0,0.0,False,7
248955543,4.0,4,10.263581204023096,7.56874463545117,True,5
317128444,4.0,4,6.507500032196339,6.0845700240249485,True,7
279092536,4.0,4,4.705329013877945,3.681194748434073,True,20
231839537,4.0,4,3.8175269592575076,1.4068355273633224,True,14
184137441,4.0,4,0.0,0.0,False,7
101101390,4.0,4,8.16938202957574,8.145088906752427,True,5
40083560,4.0,4,8.712387954185482,7.575867082791458,True,5
237886259,4.0,4,5.987833029310388,3.6441523343541253,True,7
262810040,4.0,4,7.310623687652329,6.458818051829991,True,5
389752285,4.0,4,11.22656602952091,10.058594770878305,True,7
369219891,4.0,4,5.321463512732699,4.628485216899736,True,7
120414543,4.0,4,15.933360477196084,16.926433394248466,True,7
114948814,4.0,4,36.65439717846512,30.435028281705673,True,7
273652136,4.0,4,9.74076220014706,7.774170934901067,True,7
80314959,4.0,4,5.333048885762336,5.159006395047282,True,7
251886567,4.0,4,6.175293831317511,5.14704827310108,True,7
228569826,4.0,4,12.518804720051335,9.606684313868568,True,7
