tic,P,Rp,b,k,t14_seeded,Lb,obs_R,P_hat,P_true,fap_sealed,fap_full,fap_cur,bitexact,gate_sealed,gate_full,gate_cur,n_cur,curtailed,t_sealed,t_full,t_cur
268765642,0.5,2,0.6,3,0.4,1.2000000000000002,0.9449665165010998,0.7573873326316826,0.5,0.4975024975024975,0.4975024975024975,0.01098901098901099,True,False,False,False,15,True,8.046894,1.4062800000000006,0.021986999999999313
114918596,0.5,2,0.3,5,0.05,0.15000000000000002,0.9186367244924195,1.1472501186577784,0.5,0.6253746253746254,0.6253746253746254,0.01098901098901099,True,False,False,False,15,True,12.72415,1.8177400000000006,0.02707400000000071
251828912,0.5,2,0.0,16,0.05,0.15000000000000002,0.9261939921783934,0.5019808568092832,0.5,0.001998001998001998,0.001998001998001998,0.001998001998001998,True,True,True,True,1000,False,13.397863000000001,2.015008999999999,2.022428999999999
199729914,0.5,1,0.0,2,0.1,0.30000000000000004,1.0,2.2569747756758716,0.5,0.14385614385614387,0.14385614385614387,0.01098901098901099,True,False,False,False,37,True,21.756988,3.007048000000001,0.11399300000000068
375059160,0.5,1,0.0,4,0.8,2.4000000000000004,0.9698306880182517,0.9445815978577683,0.5,0.3066933066933067,0.3066933066933067,0.01098901098901099,True,False,False,False,56,True,29.371838999999998,4.018044999999997,0.22151699999999863
160113035,0.5,4,0.3,48,0.05,0.15000000000000002,0.9939721299387508,0.5003024401250622,0.5,0.000999000999000999,0.000999000999000999,0.000999000999000999,True,True,True,True,1000,False,14.165292,2.1838979999999992,2.163700999999996
150274632,0.5,2,0.0,5,0.05,0.15000000000000002,0.8905348665713303,3.0067401225486643,0.5,0.3886113886113886,0.3886113886113886,0.01098901098901099,True,False,False,False,25,True,35.375682000000005,4.19041,0.1007370000000023
100123131,0.5,4,0.0,5,0.1,0.30000000000000004,0.9021974438862771,3.3444523186711925,0.5,0.3956043956043956,0.3956043956043956,0.01098901098901099,True,False,False,False,27,True,23.055311000000003,3.108075999999997,0.07953799999999944
115693639,0.5,4,0.6,45,0.05,0.15000000000000002,0.9950436252056359,0.5001987245087993,0.5,0.000999000999000999,0.000999000999000999,0.000999000999000999,True,True,True,True,1000,False,14.646942,2.2117370000000065,2.1988310000000055
248955543,0.5,4,0.3,32,0.05,0.15000000000000002,0.9670677113807384,0.5006376430456264,0.5,0.000999000999000999,0.000999000999000999,0.000999000999000999,True,True,True,True,1000,False,9.811027000000003,1.5048080000000041,1.5041729999999944
150104808,0.5,2,0.3,8,0.05,0.15000000000000002,0.8005371301907823,1.2082131926591777,0.5,0.02097902097902098,0.02097902097902098,0.01098901098901099,True,False,False,False,425,True,36.583777999999995,3.8837660000000014,1.6766530000000017
40182390,0.5,4,0.0,32,0.05,0.15000000000000002,0.9966284744164281,0.5005849135133629,0.5,0.000999000999000999,0.000999000999000999,0.000999000999000999,True,True,True,True,1000,False,9.625480000000003,1.5688069999999996,1.5472019999999986
279091054,0.5,4,0.0,6,0.4,1.2000000000000002,0.6920369502953008,0.5260451127618777,0.5,0.926073926073926,0.926073926073926,0.01098901098901099,True,False,False,False,10,True,19.264815,2.6212739999999997,0.024324000000000012
3836364,0.5,8,0.3,31,0.05,0.15000000000000002,0.9620879455554613,0.5012028095738305,0.5,0.000999000999000999,0.000999000999000999,0.000999000999000999,True,True,True,True,1000,False,9.946857000000001,1.5490529999999936,1.5447890000000015
161174069,0.5,8,0.0,49,0.05,0.15000000000000002,0.9600893725465643,0.5002217380909623,0.5,0.000999000999000999,0.000999000999000999,0.000999000999000999,True,True,True,True,1000,False,15.124289999999995,2.2394669999999977,2.236892999999995
20923934,0.5,8,0.6,32,0.05,0.15000000000000002,0.9939829511815353,0.5003941418037893,0.5,0.000999000999000999,0.000999000999000999,0.000999000999000999,True,True,True,True,1000,False,9.909841999999998,1.5827529999999967,1.5678139999999985
70776480,0.5,8,0.6,46,0.05,0.15000000000000002,0.9899339608552032,0.5004798427613929,0.5,0.000999000999000999,0.000999000999000999,0.000999000999000999,True,True,True,True,1000,False,14.370002999999997,2.23983299999999,2.2266400000000033
389527466,0.5,8,0.0,48,0.05,0.15000000000000002,0.9866029945493454,0.5001086965982038,0.5,0.000999000999000999,0.000999000999000999,0.000999000999000999,True,True,True,True,1000,False,14.892779000000004,2.219032999999996,2.2161430000000024
100101948,0.5,4,0.6,70,0.05,0.15000000000000002,0.9953230338907917,0.5000559726478281,0.5,0.000999000999000999,0.000999000999000999,0.000999000999000999,True,True,True,True,1000,False,26.015804999999993,3.943016,3.906057000000004
161376469,0.5,12,0.0,46,0.05,0.15000000000000002,0.9756191271313561,0.5006650172938637,0.5,0.000999000999000999,0.000999000999000999,0.000999000999000999,True,True,True,True,1000,False,14.600651999999997,2.150492,2.148309999999995
