tic,c_full,routed,t_det,t14,ge,fap_sealed,fap_vec,fap_cur,bitexact,gate_sealed,gate_cur,t_sealed_fap,t_vec_fap,t_cur_fap,n_cur
80430430,36.471329999999995,False,0.010424999999997908,,,,,,,,,,,,
179823111,43.957477,False,0.011462999999992007,,,,,,,,,,,,
101949836,44.444052,False,0.011309000000011338,,,,,,,,,,,,
7143936,42.27312899999998,False,0.012364000000047781,,,,,,,,,,,,
410212351,50.431893,False,0.011475999999959186,,,,,,,,,,,,
155944894,46.52704700000004,True,0.010946999999987383,0.05,173.0,0.17382617382617382,0.17382617382617382,0.01098901098901099,True,False,False,12.210101000000009,1.9610810000000356,0.15648899999996502,78.0
313934195,51.89401800000002,False,0.010714000000007218,,,,,,,,,,,,
293618282,46.30205599999999,False,0.012944000000061351,,,,,,,,,,,,
43362331,46.388598,False,0.011811999999963518,,,,,,,,,,,,
304102181,150.326665,False,0.022308999999950174,,,,,,,,,,,,
12393811,45.12141399999996,False,0.00979399999994257,,,,,,,,,,,,
273792114,47.34489899999994,False,0.012070999999991727,,,,,,,,,,,,
317097443,43.089043999999944,False,0.010745000000042637,,,,,,,,,,,,
160113035,33.41464499999995,False,0.010672999999997046,,,,,,,,,,,,
150102227,278.395973,False,0.027318000000150278,,,,,,,,,,,,
267041899,43.0934739999999,True,0.011657999999897584,0.05,882.0,0.8821178821178821,0.8821178821178821,0.01098901098901099,True,False,False,13.38116100000002,1.838747999999896,0.02532700000006116,14.0
92442172,41.22060899999997,False,0.009632000000010521,,,,,,,,,,,,
325338671,36.95810200000005,False,0.010352999999895474,,,,,,,,,,,,
114950121,37.28713700000003,False,0.01146300000004885,,,,,,,,,,,,
219233386,18.431778000000122,False,0.008010000000012951,,,,,,,,,,,,
270303376,32.60146800000007,False,0.0113979999998719,,,,,,,,,,,,
220414767,391.7572019999999,False,0.026055000000042128,,,,,,,,,,,,
279088303,444.9124479999999,True,0.024351000000024214,0.4,518.0,0.5184815184815185,0.5184815184815185,0.01098901098901099,True,False,False,26.330712000000176,3.9799890000001596,0.07557599999995546,19.0
149971277,241.23899800000004,False,0.023009999999885622,,,,,,,,,,,,
