task,tic,period_days,radius_rearth,b,cost_full,cost_full_wall,cost_full_cpu_spread,cost_detector,cost_period,cost_tls,cost_comb,fast_path_eligible,routed_in_retime,confirmed_cheap,n_repeats,ge,E_surrogates,cost_detector_leverA,cost_detector_leverAB,cost_comb_leverA,cost_comb_leverAB,cost_comb_free_detector
119,268534632,0.5,1,0.6,21.745648999999993,22.94456450000871,0.1020636756880747,8.29242699999999,0.0,21.745648999999993,30.038075999999982,True,True,False,5,160.0,62.5,1.3065112651646429,0.08288058475320163,23.052160265164638,21.828529584753195,21.745648999999993
377,146711335,0.5,1,0.6,23.112839000000008,23.92753279197495,0.0761946627779134,7.6178220000000465,0.0,23.112839000000008,30.730661000000055,True,True,False,5,154.0,64.93506493506491,1.2002240428548994,0.07905779240985407,24.313063042854907,23.191896792409864,23.112839000000008
78,142105308,0.5,1,0.0,99.944215,104.6442652910482,0.541038406755957,16.939040000000006,0.0,99.944215,116.883255,True,True,False,5,129.5,77.51937984496124,2.6688262171104467,0.20934523424723891,102.61304121711045,100.15356023424724,99.944215
398,142105308,0.5,1,0.6,98.808645,103.26672075001989,0.6286936198761767,16.89631799999995,0.0,98.808645,115.70496299999996,True,True,False,5,114.0,87.71929824561404,2.6620951630691585,0.23594327145908014,101.47074016306915,99.04458827145908,98.808645
272,231280161,0.5,1,0.6,150.17718399999998,155.71543445903808,1.2759017796437622,22.408012999999983,0.0,150.17718399999998,172.58519699999997,True,True,False,5,441.0,22.675736961451243,3.5304888923901028,0.08350342293861479,153.7076728923901,150.2606874229386,150.17718399999998
487,28077586,0.5,1,0.3,27.74232900000004,27.925528625026345,0.0420399690751261,7.6266729999999825,0.0,27.74232900000004,35.36900200000002,True,True,False,5,112.0,89.2857142857143,1.2016185599495797,0.10838060937464457,28.94394755994962,27.850709609374686,27.74232900000004
503,111244232,0.5,2,0.0,26.90236700000014,27.026344541925937,0.0425865398011437,8.401839999999993,0.0,26.90236700000014,35.30420700000013,True,True,False,5,145.0,68.9655172413793,1.3237498030565609,0.09252431535367259,28.2261168030567,26.99489131535381,26.90236700000014
587,146711335,0.5,2,0.0,25.542012999999997,25.6619825840462,0.0266439973757805,0.0074329999999918,0.0,25.542012999999997,25.54944599999999,True,True,False,5,455.0,21.97802197802197,0.0011711044587981408,2.6882781211611596e-05,25.543184104458796,25.542039882781207,25.542012999999997
609,268534632,0.5,2,0.3,24.510672999999997,24.639575041946955,0.0113859931423848,7.650225000000091,0.0,24.510672999999997,32.16089800000009,True,True,False,5,182.0,54.94505494505497,1.2053292894280905,0.06736484847546312,25.716002289428086,24.57803784847546,24.510672999999997
629,267063469,0.5,2,0.0,54.52065300000004,54.76357750000898,0.0778876632937538,13.443686999999954,0.0,54.52065300000004,67.96433999999999,True,True,False,5,281.0,35.58718861209964,2.118116748069947,0.07741851844563664,56.63876974806998,54.59807151844568,54.52065300000004
645,260852493,0.5,2,0.3,60.687997,61.03633545804769,0.0722824315739314,13.493528999999851,0.0,60.687997,74.18152599999985,True,True,False,5,109.5,91.74311926605506,2.125969591933173,0.19697207934132335,62.81396659193317,60.884969079341325,60.687997
16,349273478,0.5,1,0.3,326.17745000000014,327.96302424999885,3.2911363516201364,33.4368300000001,0.0,326.17745000000014,359.61428000000024,True,True,False,5,811.0,12.330456226880393,5.268131400661745,0.07015643859538011,331.44558140066187,326.24760643859554,326.17745000000014
11,141809729,0.5,1,0.6,343.22561300000007,345.1072770829778,3.33503603431287,29.710645999999997,0.0,343.22561300000007,372.93625900000006,True,True,False,5,294.0,34.013605442176875,4.681053411060343,0.16373682036825477,347.9066664110604,343.3893498203683,343.22561300000007
692,234280067,0.5,2,0.0,56.14556300000004,56.42012808297295,0.1062120780299757,13.382428999999776,0.0,56.14556300000004,69.52799199999981,True,True,False,5,169.0,59.17159763313608,2.108465259177529,0.12674298021845778,58.254028259177566,56.2723059802185,56.14556300000004
914,412051524,0.5,2,0.0,56.61548900000025,56.90627074998338,0.0670295016528846,12.951728999999888,0.0,56.61548900000025,69.56721800000014,True,True,False,5,274.0,36.4963503649635,2.0406064282337937,0.07643885473531575,58.656095428234046,56.69192785473557,56.61548900000025
949,267063469,0.5,2,0.6,50.784673999999995,51.030191665980965,0.162957677256933,11.855706999999711,0.0,50.784673999999995,62.64038099999971,True,True,False,5,269.5,37.17472118959108,1.8679229557270696,0.0712362018366811,52.65259695572706,50.85591020183668,50.784673999999995
622,31654804,0.5,2,0.6,248.636665,249.857713000034,4.632596758629075,25.261857999999847,0.0,248.636665,273.89852299999984,True,True,False,5,636.0,15.723270440251572,3.980125728690696,0.0664942247223755,252.6167907286907,248.70315922472236,248.636665
989,267063469,0.5,2,0.0,35.98391100000026,36.01581858401187,10.575953945759249,8.001113999999689,0.0,35.98391100000026,43.98502499999995,True,True,False,5,281.0,35.58718861209964,1.2606135181975244,0.0460762283289264,37.244524518197785,36.02998722832919,35.98391100000026
1006,206683782,0.5,4,0.0,46.84024099999988,46.92068174993619,6.768019987581878,10.07786299999998,0.0,0.0078650000000379,10.085728000000016,True,True,True,5,-0.0,1000.0,1.5878151882779232,1.5878151882779232,1.5956801882779612,1.5956801882779612,0.0078650000000379
