tic,n_points,baseline_days,oot_rms,n_events,has_evidence,max_snr,total_snr,best_dur_days,period_days,fold_R,depth,depth_snr,duration_frac,odd_even_diff,secondary_depth,secondary_ratio,v_over_u
100029948,27523,49.60428192617974,0.007915367316874793,28,1,55.01778212775073,235.26048653493618,0.05,1.3858737567933412,0.987771468324496,0.22899235388077355,1011.2413886393449,0.03607832225331323,0.1331181268678615,-0.0007502512146441154,-0.0032763155709327257,1.0816347452961592
100067280,27619,49.604315725505785,0.0008448855721584931,33,1,3.476946580378159,14.460199474108522,0.05,0.519313326099588,0.4150829178452944,1.9276360182396424e-05,1.1775576970411663,0.09628098777194015,0.2801957719332501,1.1055589087594075e-05,0.5735309458312712,1.1334543888217607
100100827,27619,49.60423701361424,0.0006649762920993092,46,1,38.359082134511596,233.83855442928922,0.05,0.9435780350388208,0.7617958199495768,0.0009046858404184732,56.50189274173773,0.052989787959554294,0.14884859405791345,8.569110015327341e-05,0.09471917910601538,0.931615455554742
100100829,27529,49.60423528880483,0.005394273764011866,34,1,6.3469900724312165,22.282909133319063,0.05,0.9423653798071496,0.6090401375785885,0.001894172822117679,13.694110786509468,0.05305797631300107,0.1456457234217843,0.0003587447422702672,0.18939388110805633,1.1609873402287503
100101948,27533,49.60427103086977,0.0011888909385266825,35,1,3.7171671638207804,14.618663576125275,0.08,0.5022675857143136,0.3561027057207964,1.1238803341862003e-05,0.6253278808182516,0.15927764855903612,1.0,-2.5822883358062043e-05,-2.2976541694503756,7.8634622901158036
100102303,27492,49.604358489975766,0.0011115449580374425,31,1,3.345412384658381,13.65778418249983,0.05,0.7523690248918954,0.3488397849175988,3.0373844820019702e-05,1.168561181839328,0.06645674974083932,0.3720728720036706,1.6507251903719045e-06,0.054346929081691205,2.805034904771709
100103683,27528,49.60415549005984,0.001250961414270097,26,1,7.166872139530892,15.286345164285281,0.05,1.3344963555348084,0.37293919026658773,1.0875870830928669e-05,0.27182010254661854,0.03746731850755948,1.0,-3.913689887991012e-05,-3.5985071437786007,-7.392827626450141
100106368,27555,49.60429635050377,0.0010307656417103833,31,1,3.5189740066354234,13.302833194831315,0.05,0.5097418886913607,0.32828489213221,6.003564459727828e-05,3.047551754851768,0.09808885851693086,0.772425372047179,1.3586203641002825e-05,0.22630228645231798,1.4691125385190016
100107681,27619,49.60429849883212,0.0004883883849741563,37,1,4.225262779035245,15.444923197321323,0.08,0.5340281970449426,0.32086233044615453,-2.642188586698957e-06,-0.3505875512709568,0.14980482387012867,0.9418306304014218,6.2419672079983e-06,,
100123131,27491,49.604306371534676,0.01393358572037217,33,1,3.9003523321128797,14.214392610587838,0.18,1.051304524301934,0.41994613205235776,0.000711834150340318,3.505315803020383,0.17121585215237226,0.4877379212360688,-4.478866663681913e-05,-0.06292008695481424,-0.10119616110461827
100123854,11040,17.77479447021551,0.000774542405702767,8,1,5.176026346803022,8.151785028774333,0.08,0.5220771787883769,0.7574989842354984,3.6089557327589894e-05,1.936474876623367,0.1532340490072022,0.7613535974778187,-3.4761766261048876e-06,-0.09632084413092554,0.9201635755581193
100921427,11181,17.778016339190344,0.0028802216613262755,14,1,3.3850263826018203,9.607056415777837,0.05,0.7098806465268809,0.576876382916285,0.00020558427171463167,2.0487013573565473,0.07043437547512667,0.20754951350037787,-0.00022226029928740232,-1.0811152887995166,0.15371978838920272
100975203,11750,17.778021537367295,0.0005995884609285405,11,1,3.0833525208991825,8.319966652354964,0.05,2.37137443575482,0.6034662022462917,0.00012088235598473052,3.0503576767416734,0.0210848186798829,0.02637522300107091,-6.644458399995834e-05,-0.5496632114644706,1.506715773143365
100990409,11256,17.77805352736641,0.0014249273039567704,5,1,2.7328402964111533,5.617939986720503,0.12,2.215032560454438,0.793873443402071,9.807404288375565e-05,1.680418408565981,0.05417527585932222,0.35815520933737355,-0.00014226092071167873,-1.450546103012155,1.0102011692770023
101014057,11209,17.778051104763563,0.0014942149597317505,13,1,4.196635519231555,9.553567872723002,0.12,0.809961642157744,0.46207069766405207,6.39134682173248e-05,1.754560684181413,0.14815516408939944,0.6062701646655145,2.075712867694035e-05,0.32476924278870206,1.0
101017159,11152,17.77801237711128,0.014232311933163839,14,1,3.782085934299003,9.628863724407196,0.08,0.7673461332831447,0.500889943812827,0.0014901623192292712,3.5911454543933354,0.10425542858698504,0.3903512543798957,0.00018264697410730335,0.12256850931633437,1.7943550063104947
101017638,11216,17.778064471570815,0.02023590486278257,11,1,3.628235094013165,8.834691427999687,0.05,4.962054552188115,0.6297511021516887,0.003567551339170638,2.054191947562228,0.010076471242733824,1.0,-0.001830049659320765,-0.5129707985495181,0.7844166960353028
101058021,11222,17.778078185994218,0.011327068331350585,8,1,2.5492341848960596,6.209046011517754,0.25,0.6893364866477667,0.7938260039725041,0.00042923883359924364,,0.362667586646612,0.07620373675596627,-0.00015933476071428032,-0.37120304185488096,1.3716502779059878
101070347,11752,17.778079592058475,0.00044980893145673065,15,1,4.243595616974445,10.05406311636346,0.05,0.5055289337628706,0.4560238705003181,3.798986415581851e-05,2.8946415266380847,0.09890630715798673,0.1940910965538159,2.334113951585337e-05,0.614404395343921,1.50842866176697
101099031,11752,17.778101090708788,0.0004593623921687056,4,1,2.3958497473054643,4.266200400665644,0.05,2.987559098550719,0.9195059550318219,6.096702447433433e-05,1.9282005162836324,0.016736070601667853,0.926925677921895,-8.720112263771451e-05,-1.4302997954972219,0.9280693211035081
101100320,11752,17.7780854214393,0.0005090808893986471,7,1,2.958145615186766,6.526298969744289,0.05,1.3706614980602692,0.8205013609713635,0.00013047190981629875,5.29402506821267,0.03647873677837959,0.27273948402635495,-8.936353200406089e-05,-0.6849254535315882,1.970990669679148
101101390,11365,17.778114959498907,0.0011407854419229846,14,1,3.6962551692273986,9.66760016919614,0.05,0.6329006238506236,0.5029838222794053,-6.0099051850504015e-05,-1.5553123523554915,0.07900134415383502,0.7872168823485564,-3.8421254146492334e-05,,
101126095,11750,17.776727157559435,0.0005144804210554917,10,1,3.8725454981669007,8.134686309410883,0.05,0.6295663710644219,0.6381340842391992,4.952624834742014e-05,2.910445258460099,0.07941974396673045,0.5787107115989542,1.3510476734146515e-05,0.27279426940179863,1.224036205124905
101139085,11752,17.77810026322868,0.000725855019172427,10,1,3.6247730247123426,8.538655338611411,0.12,0.5716457732969323,0.6514678873660421,3.412707147087968e-05,2.35318543927899,0.2099202086423333,0.9997994891111377,-4.157012356564849e-06,-0.12180981776042489,0.22986798606994246
101930558,16542,24.904318413265173,0.0006297863686792648,18,1,3.2955743332456495,10.739264544496269,0.05,0.6296557324044484,0.4207784128568697,3.866567966920309e-05,2.1821006619739567,0.07940847264117874,0.8242195370132834,-8.865132177682256e-06,-0.22927651223323156,-0.15214821714656387
101932572,16545,24.90430801923958,0.0005954153985996644,15,1,3.8235218856450497,10.12930751005709,0.12,0.6903433640480922,0.6939918757431597,4.0154869347996947e-05,3.6361959523948184,0.17382654234022638,0.14864463153525362,-1.6708219093608534e-05,-0.41609447035698033,1.278236603304991
101932654,16545,24.904319499652956,0.0040756056737237326,18,1,3.063712465132839,10.54402875716043,0.08,0.5273553130205041,0.45712946752779726,0.00011229327613937468,1.3623322720830153,0.15170037738273345,0.686542032038457,-4.174889195440734e-05,-0.37178443260120053,3.6605790402793685
101933280,16544,24.90434705003736,0.000633858996032785,10,1,3.6934061029776357,8.505159852312268,0.05,2.4070445562601663,0.6979301011951915,0.00017543417354293211,5.189383634359337,0.020772361637411974,0.8487317124164195,-0.0001400528246731092,-0.7983212269577317,1.4190126354351187
101944261,16542,24.90437491846842,0.0003785196478885027,11,1,3.301039338785509,8.635862139595057,0.08,0.50038370762691,0.6873348066492879,1.852856205630804e-06,0.25275741665879586,0.1598773077153196,1.0,-7.937754346154513e-06,-4.284063880419748,1.2380499349895262
101948395,16543,24.90437737878983,0.0005053717359392827,14,1,3.4036003334088183,9.118832849175453,0.05,0.8708310676458104,0.5291075288748404,-2.970108851341191e-05,-1.7989803913761095,0.057416417325542986,0.012231029067765097,-2.155013293148045e-06,,
101948780,16543,24.90432503170905,0.003529986756043309,17,1,8.995600311868897,13.407935523026994,0.08,0.6570828801175802,0.44789889844782116,0.00011948459165922465,1.5218538790195133,0.12175024250469679,1.0,-0.0001886851897278108,-1.5791591795028208,1.8634514449091941
101949364,16544,24.90428452918877,0.0017464466613470316,20,1,3.0855661285969607,10.734882725964018,0.05,0.5375925806548951,0.4196846482174945,9.414088129855447e-05,2.1097574596975828,0.0930072359612739,0.10889091891896346,0.00012335069464169957,1.310277670447022,2.3428468108245197
101949836,16543,24.904353335067754,0.007181577443746495,16,1,2.6660252179667436,9.070954892926617,0.05,1.0823439619987452,0.4663807640962959,-0.0003182825821688162,-1.2298009356981048,0.046196035415272146,0.4313510451134213,8.574329339883224e-05,,
101963736,16545,24.904315792057787,0.0015986575962510846,15,1,3.382082556973179,9.892365951971236,0.08,1.5774288536792362,0.47316266776552285,4.066706297800593e-05,0.7426765163384993,0.05071544102506171,1.0,-0.00012150216862405472,-2.9877291283554714,-1.1994964469480414
101992165,16544,24.904278116334353,0.0025783955649935552,18,1,3.3849068235793647,10.58779034344626,0.05,0.5207760872951714,0.5941432374545342,-3.612771821370764e-05,-0.5636606782270712,0.09601055274963197,0.4696779824378234,-0.0001009075537776738,,
102029678,16542,24.904326220076655,0.001081059021651515,20,1,3.167405707055432,10.923365084257274,0.05,0.6282986151001625,0.4767392854301169,3.839115256931702e-05,1.3041932955390625,0.07957999396836021,0.790226553056455,3.328942256086709e-05,0.8671118300176448,0.7667322133301081
102049230,16545,24.904385830775027,0.0007546224321288991,14,1,3.1710903137602666,9.079180207565598,0.05,0.8817426312201895,0.5611051084381825,2.6080091581670573e-05,1.039370781604574,0.056705889257966435,0.9986098036275569,1.9599209875653667e-05,0.7515008072068369,-1.2613352901114687
102063797,27616,49.604040059611634,0.0005966078920747211,29,1,3.407406397508375,13.442253043020711,0.08,0.5758377842693014,0.40063066344446174,1.1486314097308714e-05,1.2063279444026764,0.1389280144259976,0.3804503057980909,-4.656842415018403e-06,-0.4054253066359659,2.921650816454862
102070608,27618,49.60398561123429,0.0012571093387283676,29,1,3.3330020793046553,13.523306366047265,0.08,0.6003465257893537,0.4046164218011744,2.339531008122009e-05,1.1467188667729182,0.13325637205081448,1.0,-2.551788107374442e-05,-1.090726345799886,1.3702767411325019
102086414,27616,49.60397352336577,0.0026901576681685547,26,1,3.5890999916368833,13.50753624674925,0.05,1.0232156645169717,0.4071432106750914,7.05238709962086e-05,0.9798662806765263,0.0488655536988905,0.58458678128144,-1.0671960283259452e-06,-0.01513240854835263,3.358770373210805
10802452,11136,17.775046821147498,0.0013633474641624448,2,1,2.557648445443353,3.2733194076673757,0.05,3.4358592239100294,1.0,0.0009221300513156949,10.05646905817731,0.014552400649028829,0.18015106288157892,-0.00016312072622359786,-0.17689557561957475,1.0615923930150775
10819194,11212,17.77507670775458,0.0007350812686578842,7,1,3.2034930082534063,6.6606655933387575,0.08,0.6123708741863214,0.6771925595837156,7.116627591208236e-05,3.703235507127516,0.13063978607130655,0.2794849700262752,5.284622825230123e-06,0.07425740292717661,1.1763166000300316
10819945,11211,17.77647045572303,0.020403621136003396,1,1,2.053308036307215,2.053308036307215,0.05,,0.0,,,,,,,
10838083,11152,17.776487552942854,0.01252038715870449,9,1,2.8980050226289964,7.437533952552893,0.05,3.383834398744249,0.7983389166432967,0.0006063315457864871,0.7126868155545097,0.014776136804612884,1.0,-0.0014987801875790963,-2.471882253190361,-2.1240631198391817
111244232,11031,17.77634016369484,0.001073825930387514,12,1,3.5315914391652963,8.498621529558594,0.05,0.9157638545662526,0.5033059372816743,0.00010434057609826075,2.3939037774970218,0.05459922855732527,0.40922500379873633,-2.060887589833138e-05,-0.19751545054651953,2.618371457663265
111245072,8933,17.776306554125767,0.0010525062524680343,14,1,3.0064281654030944,8.759119001722986,0.05,10.214277489300267,0.582449548905829,0.0003182469898407314,2.539605721781858,0.004895108836858638,1.0,-9.909492987436597e-05,-0.3113774302278825,1.0909574966259945
111267568,11072,17.774912859475535,0.0005045890112756566,4,1,2.321748572668895,4.427294544930765,0.05,1.3336069252239726,0.9563508994441307,1.2688364319668466e-05,0.5343251911241769,0.03749230680667225,0.7101172794695544,-5.560101416834939e-06,-0.4382047422941761,-2.94167058527246
111269697,10867,17.77493620749965,0.000951705314115681,5,1,2.921991346844027,5.4575063277107825,0.12,1.1263515445376386,0.8531715098473286,0.0001285826373882415,4.67827300729441,0.10653867398855422,0.17227382147295248,1.1356860965927584e-05,0.08832344083623639,0.6801888251020854
114750450,16545,24.904458671841894,0.0023512659521698243,17,1,3.5747349981949177,10.194275528397954,0.12,2.6804114711343523,0.4552835778118013,0.00023555410753117734,2.6171995618441586,0.04476924580136045,0.23050868528334986,-0.00012848189118919162,-0.5454453438991128,0.420192640279209
114750474,16545,24.904454887412612,0.0005855487198432349,10,1,6.9906342590837065,10.067905498412323,0.08,0.5457016706861186,0.7735034185591372,3.943126835348476e-05,3.3281853869865423,0.14660024752978096,0.21483422864460266,-2.258161844748141e-05,-0.5726830353273622,0.3479813530185376
114818487,16543,24.90450372736541,0.014870353973839106,6,1,2.453459305823588,5.35458174006778,0.25,0.7001994770508645,0.8478433446664724,-0.00040207797026403647,,0.3570411121313067,0.30447247953716344,-0.00015942913479205512,,
114818789,16546,24.90453860586149,0.0016258303584927702,11,1,3.8832526051565015,9.471120118930026,0.05,2.4223804935268634,0.659070346160524,0.0005592655478247055,6.396586189765466,0.020640853133358308,0.5242725479987176,-0.0003733248358563923,-0.6675269687332969,1.0071540784868198
114858562,16544,24.90453915953276,0.014272540757581675,9,1,2.8218342908535745,7.641018993011953,0.05,0.5663943391621659,0.6952275643874318,0.0008746550731367764,2.3501132704452417,0.08827771844252909,0.19569999743437802,0.00025280974284908053,0.28903936033027133,1.4044273854809153
114859570,16545,24.904522470697884,0.0003882381429847937,19,1,3.3693048232307543,10.182326841451586,0.25,3.9141740794506736,0.40269225014475674,4.199968208407068e-05,3.504986081067572,0.06387043471379937,0.550456159890415,-9.79811775436712e-06,-0.23329028383486922,1.2349831933292057
114918596,16410,25.271799287153044,0.0011675766918314149,16,1,5.902239919141729,12.144497901770075,0.05,1.7809279197476293,0.3980837257172849,1.913485697857542e-05,0.3588715778285357,0.028075251920967905,1.0,-0.00010320929484708419,-5.393784493014175,-4.6221440085164085
114948814,16417,25.28430550431608,0.0004334052190839026,16,1,4.4738037269217585,10.750709475097613,0.05,2.641072087955365,0.5133065454142332,5.2024633590330716e-05,2.2025058324805853,0.018931705888690236,1.0,-9.026607619477822e-06,-0.17350641410678777,1.3305748589414437
114949823,16413,25.284325343349565,0.0010834213524822962,13,1,5.941532108806546,11.065735883248129,0.05,11.004381156963237,0.6066186911322294,0.0003408550870986349,2.0426982275733656,0.004543644870785081,0.9339319678838112,0.00020987364915175943,0.6157269088697136,1.5919096134009345
114950121,16419,25.281553930876726,0.0010804272287560414,3,1,2.858590414736437,4.322215007141831,0.25,0.7097010770100951,0.3343510519319115,2.445114960569761e-05,,0.35226098437560055,1.0,4.311935911049947e-05,1.7634900528542752,1.0713180830259985
114952667,16421,25.28290799612796,0.0007424839417071195,3,1,3.061386088920346,4.597434700710616,0.08,3.4010434545675627,0.9947311473892307,0.00016279354529102896,4.509446210287897,0.023522192841306074,0.5796787331222142,9.835037356575871e-05,0.6041417268107035,1.2802013518775726
114953091,16422,25.282900444964525,0.0007345929183048932,13,1,3.334108921358276,9.124507504802164,0.08,0.5717907185550597,0.5641816038755894,-2.0004683563334957e-05,-1.3202166493715455,0.1399113301491908,1.0,-4.7409328807201945e-07,,
