,n_cadences,sigma_ppm,tau_gp_days,tau_celerite2_days,cdpp_1.0h_ppm,cdpp_2.0h_ppm,cdpp_4.0h_ppm,scatter_ratio_halves,acf_lag1
count,188.0,188.0,188.0,188.0,188.0,188.0,188.0,188.0,188.0
mean,18259.68085106383,2846.3473773840847,0.02415044521170243,0.3205655734243,1952.73484817681,1652.5465078465609,1117.4589895454023,1.011145153270189,0.13341242290796307
std,7861.767613237568,11406.300398385762,0.07245117129360826,0.668811493162575,10558.628387880779,8469.562085209585,5218.4391164042045,0.10036088855041181,0.2719865352035746
min,8731.0,266.9227427736829,0.0027777203055165955,8.746129562463182e-08,55.95506113755201,40.0181154588806,29.37174793022903,0.6104026994429865,-0.013140666361851645
25%,16125.0,725.463712292302,0.00555548607712808,0.01621536094731343,157.25073246966107,116.91611211469045,88.06944349381885,0.9841472168083868,0.0034716655456370838
50%,16541.0,1122.8066000649128,0.005555589201890143,0.03612246745400992,249.90121425824736,191.0033837798672,141.5863794483378,1.0034333714134667,0.012423893048975166
75%,16545.0,1789.3973182156237,0.008333402825769554,0.216458311737068,461.601022480455,347.49951637188894,314.953246046669,1.0245340096262596,0.07648880836863975
max,43897.0,151446.7517378376,0.4888898098656682,2.95055374176463,118774.45977051032,85441.55118986954,51961.54673130727,1.937014556837688,0.9992393486590155
