tic,sectors_used,n_cadences,sigma_ppm,tau_gp_days,tau_celerite2_days,tau_method,cdpp_1.0h_ppm,cdpp_2.0h_ppm,cdpp_4.0h_ppm,scatter_ratio_halves,acf_lag1
100103683,"[2, 3]",27528,1250.961414270097,0.00833337333824602,0.05281798879141598,acf_efolding(primary)+celerite2_SHOTerm(xcheck),264.5667844356099,200.80475591840624,153.9914022144145,0.9026624389892925,0.0005254057939298826
101932654,[2],16545,4075.6056737237327,0.005555605054269108,0.07606458901072115,acf_efolding(primary)+celerite2_SHOTerm(xcheck),758.8488123512576,544.1680204021859,374.753607395358,1.0286723865463236,0.010069875067508704
101949364,[2],16544,1746.4466613470315,0.0055555952756094484,0.20803509383312493,acf_efolding(primary)+celerite2_SHOTerm(xcheck),341.9533684271879,250.1999574528395,179.88193625798317,1.003751279056026,0.010749268235978306
111269697,[3],10867,951.7053141156811,0.0027777703633091733,0.28509153674039295,acf_efolding(primary)+celerite2_SHOTerm(xcheck),375.95771632794856,340.3154852874895,291.8941109329342,1.0461368654114636,0.13553341830420806
114750450,[2],16545,2351.2659521698242,0.005555651621307334,0.05518677569401784,acf_efolding(primary)+celerite2_SHOTerm(xcheck),434.23546510076346,317.7445565042401,223.40537948938837,1.0367197401290973,0.007334597499289284
114918596,[1],16410,1167.5766918314148,0.005555496049964859,3.960725052471389e-06,acf_efolding(primary)+celerite2_SHOTerm(xcheck),301.006478198009,248.09133836021655,205.5312911671127,1.0591676605060505,0.042827590655638986
114953216,[1],16407,6676.0476341348385,0.16666478367596937,1.0573469373915318,acf_efolding(primary)+celerite2_SHOTerm(xcheck),5035.792814835356,4939.292925530968,4731.496688815123,0.9992131197294449,0.7594301984836017
114990385,[1],16421,724.1029449997043,0.005555502568995507,0.5086943210313811,acf_efolding(primary)+celerite2_SHOTerm(xcheck),371.8245974324604,353.9845284371373,315.843557181486,1.1199193306572455,0.23711783347439283
115114717,[1],16420,375.6492481979105,0.00555550955380113,5.294578594622645e-06,acf_efolding(primary)+celerite2_SHOTerm(xcheck),83.25635068992221,63.959383478833594,50.69927882128654,1.0244713968424433,0.01585771713335625
115115136,[1],16414,2972.570571499773,0.08888810817006743,0.37007892673468834,acf_efolding(primary)+celerite2_SHOTerm(xcheck),5993.464354739626,5692.690359199035,4809.882860782668,1.0154236568982697,0.8917553286881926
115276107,[3],10872,1266.9919587238694,0.002777750339873819,0.004982273007405265,acf_efolding(primary)+celerite2_SHOTerm(xcheck),253.59580309921816,197.91475906265822,153.5744881965351,1.0057388649290744,0.0030169576665885164
117875969,[2],16542,363.8746786237237,0.005555618092785153,3.4754461860484925e-06,acf_efolding(primary)+celerite2_SHOTerm(xcheck),83.99770844084262,70.33951354279783,58.44172070230218,1.024721847977709,0.020181846004726868
118327550,[2],16545,1229.5661739654815,0.005555634390702835,0.019112448379094187,acf_efolding(primary)+celerite2_SHOTerm(xcheck),231.3496927687041,170.04006529043946,124.06347516998684,0.9814643720249409,0.006726906779924793
120414503,[2],16543,515.1252982394194,0.005555547312269482,0.013412099191267377,acf_efolding(primary)+celerite2_SHOTerm(xcheck),104.07812039376019,76.69258565406584,55.906329158112804,1.0355170483897467,0.023681155129355605
12393723,[2],16546,6143.7892079847115,0.005555614833156142,0.019668895368940946,acf_efolding(primary)+celerite2_SHOTerm(xcheck),1476.0078118890406,1275.8259537136812,1075.7258653549666,0.9690266651800563,0.03742414640521789
12470520,[2],16546,1115.3906709002442,0.005555636252665863,0.022968862444912672,acf_efolding(primary)+celerite2_SHOTerm(xcheck),201.16763859927752,142.49643068308518,106.21412331127493,1.0208213013526446,0.0077400181247242435
12773534,[2],16544,510.8602035695718,0.005555483050557086,0.015790720163743516,acf_efolding(primary)+celerite2_SHOTerm(xcheck),98.01443172872868,74.27784218819487,55.676129646450924,1.0347711383365792,0.006928059841246351
139453344,[1],16488,571.9126453499144,0.005555600823527129,0.04649670370025169,acf_efolding(primary)+celerite2_SHOTerm(xcheck),113.98848691596368,85.81975425762238,62.5762834393809,1.0457226277921658,0.01653915085643792
139700906,[1],16482,1288.3720610178057,0.01666651329492197,0.0734495331930175,acf_efolding(primary)+celerite2_SHOTerm(xcheck),654.9408959832281,331.4521710790323,237.92917130671114,1.0928313950081467,0.9279210886714534
144386555,[2],16543,802.6036661564966,0.005555510058457003,0.01627603201619819,acf_efolding(primary)+celerite2_SHOTerm(xcheck),143.48605551585075,105.2190768220218,82.30350456894492,0.9916383343401846,-0.004620193695965627
144435085,[2],16545,385.45135931802804,0.005555535670737299,0.021218948133269154,acf_efolding(primary)+celerite2_SHOTerm(xcheck),85.07955767619588,69.10698196017452,56.67579924801542,1.0180590031966203,0.01835783552325058
