Rp (R_earth),n,R_tls,R_comb,dR_pp
1,3000,0.001,0.001,0.0
2,3000,0.292,0.28833333333333333,-0.36666666666666514
4,3000,0.657,0.606,-5.100000000000005
8,3000,0.7823333333333333,0.7616666666666667,-2.066666666666661
12,3000,0.811,0.7843333333333333,-2.6666666666666727
