tic,arm,P_true,Rp,b,period_min,sde,period_hat,recovered,period_ok,sde_ok
115693639,C_offnode_P0.62_pmin0.5,0.62,8,0.3,0.5,28.701710081273824,0.6201981255421093,True,True,True
380858160,A_edge_pmin0.5,0.5,8,0.0,0.5,21.375600365437283,1.0003112754318169,False,True,True
380858160,B_extended_pmin0.3,0.5,8,0.0,0.3,21.375600365437283,1.0003112754318169,False,True,True
380858160,C_offnode_P0.62_pmin0.5,0.62,8,0.0,0.5,16.66782009809203,0.6201849309299884,True,True,True
469939625,A_edge_pmin0.5,0.5,8,0.3,0.5,24.741700498344027,1.000299098928317,False,True,True
469939625,B_extended_pmin0.3,0.5,8,0.3,0.3,24.741700498344027,1.000299098928317,False,True,True
469939625,C_offnode_P0.62_pmin0.5,0.62,8,0.3,0.5,27.82810373283547,0.6201769325432434,True,True,True
279091165,A_edge_pmin0.5,0.5,8,0.6,0.5,8.198781298449193,8.504529566596444,False,False,False
279091165,B_extended_pmin0.3,0.5,8,0.6,0.3,8.198781298449193,8.504529566596444,False,False,False
279091165,C_offnode_P0.62_pmin0.5,0.62,8,0.6,0.5,13.725416706028764,0.6199001432488294,True,True,True
406353865,A_edge_pmin0.5,0.5,8,0.3,0.5,21.509391912057254,1.0003420665758354,True,True,True
197985569,A_edge_pmin0.5,0.5,8,0.0,0.5,22.136866517440613,0.999633567190436,False,True,True
197985569,B_extended_pmin0.3,0.5,8,0.0,0.3,22.136866517440613,0.999633567190436,False,True,True
197985569,C_offnode_P0.62_pmin0.5,0.62,8,0.0,0.5,22.781941317442822,0.6202282303986288,True,True,True
406353865,B_extended_pmin0.3,0.5,8,0.3,0.3,21.509391912057254,1.0003420665758354,True,True,True
406353865,C_offnode_P0.62_pmin0.5,0.62,8,0.3,0.5,28.420225298129694,0.6197710412809366,True,True,True
370324466,A_edge_pmin0.5,0.5,8,0.6,0.5,23.997339073925847,0.9996410357647346,False,True,True
370324466,B_extended_pmin0.3,0.5,8,0.6,0.3,23.997339073925847,0.9996410357647346,False,True,True
370324466,C_offnode_P0.62_pmin0.5,0.62,8,0.6,0.5,25.821182679028723,0.6202331370537885,True,True,True
206350311,A_edge_pmin0.5,0.5,8,0.6,0.5,37.11893808006229,1.000144050086204,False,True,True
206350311,B_extended_pmin0.3,0.5,8,0.6,0.3,37.11893808006229,1.000144050086204,False,True,True
206350311,C_offnode_P0.62_pmin0.5,0.62,8,0.6,0.5,47.18948523799808,0.6200315616495155,True,True,True
20923934,A_edge_pmin0.5,0.5,8,0.6,0.5,20.63175031005031,1.0003406697457944,True,True,True
20923934,B_extended_pmin0.3,0.5,8,0.6,0.3,20.63175031005031,1.0003406697457944,True,True,True
