tic,sigma,acf1,cad_min,kappa_0.05,kappa_0.1,kappa_0.2,kappa_0.4,kappa_0.8
287589907,0.0010511841860425494,0.0013858414867258023,1.9999675037252018,0.9793069146915062,0.9784449054986342,1.034280818203493,1.0157053858790839,1.0282569351616195
410442002,0.00041928391902293713,0.029663307270918076,1.9999643276059942,1.1867302500477652,1.173323405792127,1.4483016080608568,1.6120308275046447,1.3580226390838206
144102233,0.006281237259976721,0.0012729231515653566,2.000038750884414,1.0665806815952885,1.0811159508483361,1.216663789711338,1.1567728651954752,1.6017600325442702
161223640,0.0014954904571474064,0.010206658751569387,2.000013949291315,1.1110985040844534,1.2509718014579285,1.3503553948224818,1.219820982241668,1.4228905391505784
12393831,0.014136701381860864,0.01408659621492959,2.0000199986679945,1.0772420324104441,1.1023950407300482,1.0091902288453796,0.8441037851537532,0.9124824973034359
355651035,0.13561911018037145,0.9990607146147624,1.999996518206899,6.0392624274955,7.9614461779073835,4.6122393898265095,3.9453151468338157,1.805726627806354
441193637,0.0009904544116627076,0.01582499143397883,2.000042783038225,1.0015595237635062,1.0321878496252699,1.1525378783626825,1.3353644436268761,1.4679664857352268
218970269,0.00037370520617203935,0.028748484875622354,1.9999804354301887,1.3373810850781367,1.4158844100708035,1.8250758668008484,2.212267839206741,2.982568900445552
118327550,0.0012236748365037423,0.0005359132198670483,2.000028045295039,0.9500585568228077,0.8509813300671787,0.8553354476144697,0.6106614289566791,0.37058024079064955
257735550,0.00035868346490848616,0.16018786892728698,2.0000146227903315,2.3507222212155487,3.0764703517664547,4.028729860083057,4.790192939239791,5.668718329468497
277892453,0.0011427954916159253,0.6740221916002973,1.9999824346450623,4.784168911747335,7.012566083557261,9.149461896571541,12.949656616973417,18.108373848475324
197961755,0.01500288059328589,0.23801201391513913,2.0000246782910835,1.5898602367019976,1.9772265668441942,2.282861008340178,2.491832804462847,1.785895324149901
372817741,0.0028734929197912346,0.0026685669361257883,2.0000248369251494,1.0086361485485122,1.1534946987366668,0.9260271048322734,0.7726455639123596,0.8230572492030973
262824351,0.001239965506844427,-0.013140666361851634,2.0000186441393453,1.0329328779055305,1.0697413118188839,1.0940808507973716,1.061123738436447,1.2077989461646217
220409421,0.0014661706918671067,0.012688900707436664,2.0000250035809586,1.2860965122144516,1.572564289921338,2.158923872034278,2.2015157529725835,1.9207552705365443
179677491,0.0006150189743248842,0.01770178603728346,2.0000320692633977,1.0526395200376653,1.1174219732909172,1.0167931241590558,1.1281858990377476,1.0849815855554807
155944894,0.0010543405349750905,0.00888021116002958,1.9999911649210844,1.1486187368917813,1.2495413592318274,1.3991692076186584,1.571958718091147,2.1116519577587822
