tic,P,Rp,b,k_inj,k_host,obs_R,fap_contaminated,fap_clean,ge_contaminated,ge_clean,gate_contaminated,gate_clean,n_transits
268765642,0.5,2,0.0,4,2,0.9561548097644316,0.41358641358641357,0.31868131868131866,413,318,False,False,36
114918596,0.5,2,0.6,5,4,0.9186367244924195,0.6153846153846154,0.4865134865134865,615,486,False,False,51
251828912,0.5,2,0.3,13,1,0.9285467285308391,0.003996003996003996,0.1968031968031968,3,196,True,False,50
100123131,0.5,4,0.6,3,1,0.9989926669017092,0.21078921078921078,0.1878121878121878,210,187,False,False,100
160113035,0.5,4,0.0,48,0,0.9934751407632382,0.000999000999000999,0.004995004995004995,0,4,True,True,50
199729914,0.5,2,0.0,68,0,0.9963424005813367,0.000999000999000999,0.15084915084915085,0,150,True,False,100
115693639,0.5,4,0.3,47,0,0.9950112343517631,0.000999000999000999,0.003996003996003996,0,3,True,True,50
150104808,0.5,2,0.6,8,7,0.8005371301907823,0.02097902097902098,0.023976023976023976,20,23,False,False,157
375059160,0.5,1,0.0,4,4,0.9698306880182517,0.3066933066933067,0.3306693306693307,306,330,False,False,157
150274632,0.5,2,0.3,5,5,0.8905348665713303,0.3906093906093906,0.41058941058941056,390,410,False,False,157
248955543,0.5,8,0.0,32,1,0.9946831936316871,0.000999000999000999,0.2137862137862138,0,213,True,False,36
279091054,0.5,4,0.6,5,3,0.9118308036175792,0.5174825174825175,0.6313686313686314,517,631,False,False,100
40182390,0.5,8,0.6,32,1,0.9973854888968882,0.000999000999000999,0.11188811188811189,0,111,True,False,36
3836364,0.5,8,0.3,31,0,0.9620879455554613,0.000999000999000999,0.005994005994005994,0,5,True,True,36
161174069,0.5,8,0.0,49,2,0.9600893725465643,0.000999000999000999,0.09490509490509491,0,94,True,False,51
228507309,0.5,12,0.3,32,0,0.9565268824274384,0.000999000999000999,0.000999000999000999,0,0,True,True,50
70776480,0.5,8,0.6,46,0,0.9899339608552032,0.000999000999000999,0.11388611388611389,0,113,True,False,50
