tic,kind,P,t0,T14,Lambda,delta,n_in,n_transits,sign_pass,odd_even_pass,no_secondary_pass,shape_pass,confirmed_Tred0
100123131,random,0.7626818744262904,1355.47444246068,0.8,0.0,-3.7184089929827096e-05,27491,55,False,True,True,True,False
100123131,random,7.588794638496256,1358.7427618298316,0.05,0.0,-0.0002595831819091761,211,6,False,True,True,True,False
100123131,random,22.7231124877938,1364.6849588632315,0.1,0.0,-0.0016493910291032353,143,2,False,True,True,True,False
100123131,random,0.6896092091565938,1355.3987733942404,0.1,0.0,-0.0003377955723739811,3993,57,False,True,True,True,False
100123131,random,15.470618582216803,1366.0936437730554,0.4,0.0,-0.0009936685883761294,559,2,False,True,True,True,False
100103683,seed,1.0242156760695351,1367.165846112007,0.05,0.0005723001191038086,9.190820812210244e-07,1322,38,True,True,True,True,True
100103683,random,19.401252123070133,1364.807133136536,0.1,0.3921268934110008,7.312965882644896e-05,143,2,True,True,True,True,True
100103683,random,0.5144938928153425,1355.8490728374475,0.4,0.4948248586326863,1.4750281999273492e-05,21368,79,True,True,True,True,True
100103683,random,9.810726215987074,1360.2409990643741,0.8,0.0,-6.714742154141721e-06,2849,5,False,True,True,True,False
100103683,random,0.8374089794784215,1356.068629573902,0.05,0.0,-2.046614965905703e-06,1632,46,False,True,True,True,False
100103683,random,4.573683468545193,1359.1557032954347,0.2,1.528523675075496,5.5465349077020285e-05,966,7,True,True,True,True,True
100103683,random,20.87561469488607,1370.5336701199203,0.8,0.0,-5.854416237459539e-05,1133,2,False,True,True,True,False
100103683,random,1.9776295137350814,1357.3055274088554,0.1,0.0,-7.113236463280169e-05,1376,21,False,True,True,True,False
100103683,random,2.0905398840046083,1356.764097280153,0.05,0.0,-4.1885616205280815e-05,629,18,False,True,True,True,False
100103683,random,2.093052677021374,1355.7881640407818,0.8,0.0,-3.2240660062327546e-05,10584,20,False,True,True,True,False
100103683,random,14.327116339376234,1360.399609858912,0.4,0.3616460544658782,2.49924145636131e-05,1141,4,True,True,True,True,True
