tic,P,Rp,b,seed,k,obs_R,obs_span,obs_nfreq,P_hat,period_match,epoch_match,seed_correct,t14_seeded,t0_hat,Lb,P_true,t0_true,t14_true,n_transits,gR,gW,recR,recW,baseline,sector_class
161174069,0.5,1,0.0,20260640,2,1.0,3.151388139541268,16,1.575694069770634,False,False,False,0.2,1341.2476110457585,0.6000000000000001,0.5,1327.2038449165914,0.0760082942085563,51,False,False,False,False,25.379309548749916,1-sector
279091054,0.5,1,0.6,20260636,3,0.9999933921056866,5.67086053264984,32,0.51553277569544,False,True,False,0.2,1368.7323976186933,0.6000000000000001,0.5,1360.4844298138546,0.0954959121063987,100,False,False,False,False,49.60605741970858,2-sector
100101948,0.5,1,0.3,20260638,2,1.0,1.741696626329713,8,1.7416966263297124,False,False,False,0.1,1366.5756870954638,0.3,0.5,1393.0777310912367,0.0657532245157049,100,False,False,False,False,49.60427103086977,2-sector
114918596,0.5,1,0.6,20260627,4,0.965604588156226,15.98297573884929,93,0.5934665478522558,False,False,False,0.05,1339.6899507816263,0.15,0.5,1346.4955210308697,0.0392451052987248,51,False,False,False,False,25.271799287153044,1-sector
268765642,0.5,1,0.0,20260628,2,1.0,3.005610169291458,16,3.005610169291458,False,False,False,0.4,1394.0978258559608,1.2000000000000002,0.5,1389.526017378358,0.0874219159633287,36,False,False,False,False,17.77666158081047,1-sector
150104808,0.5,1,0.6,20260630,7,0.8073530208306928,32.698728573777544,194,1.2110640212510198,False,False,False,0.05,1366.3649843119636,0.15,0.5,1358.144318009793,0.0996074235801436,157,False,False,False,False,78.4169142712758,2-sector
375059160,0.5,1,0.0,20260622,4,0.9698306880182516,9.445815978577684,54,0.9445815978577684,False,False,False,0.8,1335.8729631937313,2.4000000000000004,0.5,1398.9361865392823,0.0354887430108391,157,False,False,False,False,78.41685560613496,2-sector
231009108,0.5,2,0.6,20260657,2,1.0,2.981927872886899,15,2.9819278728869,False,False,False,0.05,1375.8471372021174,0.15,0.5,1368.357038760025,0.0457699766088354,50,False,False,False,False,24.90416135153373,1-sector
80342205,0.5,2,0.3,20260656,3,0.9854653006613928,17.41121180788059,101,0.5990455719195393,False,False,False,0.05,1356.506810274094,0.15,0.5,1365.0006603555416,0.0459336728690059,50,False,False,False,False,24.904225256793325,1-sector
183594608,0.5,2,0.3,20260653,8,0.9448500945602268,38.508306347222515,227,0.5008496644975563,True,True,True,0.1,1367.192845421062,0.3,0.5,1363.1644274548037,0.0638335464036165,100,False,False,False,False,49.604135879200385,2-sector
199729914,0.5,1,0.0,20260625,2,1.0,2.2569747756758716,11,2.2569747756758716,False,True,False,0.1,1364.934194890954,0.3,0.5,1373.9662430128108,0.0398737297710012,100,False,False,False,False,49.60415174381478,2-sector
150274632,0.5,1,0.3,20260626,5,0.8905348665713303,47.76141309756463,283,3.0067401225486643,False,False,False,0.05,1396.7191744000943,0.15,0.5,1397.284257630833,0.112822736276812,157,False,False,False,False,78.4185033355493,2-sector
150270977,0.5,2,0.0,20260649,2,1.0,2.641663818666302,13,2.641663818666302,False,False,False,0.05,1366.489926613811,0.15,0.5,1352.5352164590422,0.1172166039032384,157,False,False,False,False,78.41673355123294,2-sector
11645778,0.5,2,0.3,20260650,2,0.8685260836581845,13.31801649738236,76,0.5749180903447866,False,False,False,0.8,1388.8089878444584,2.4000000000000004,0.5,1387.9820266509296,0.0928540173176815,36,False,False,False,False,17.776304215574783,1-sector
369219815,0.5,2,0.3,20260659,2,1.0,1.4166241785089824,6,1.4166241785089824,False,False,False,0.05,1348.995321621273,0.15,0.5,1349.108488340158,0.0923996383967928,51,False,False,False,False,25.282901305040923,1-sector
