tic,k,obs_R,obs_nfreq,ge_own,ge_fixed,gate_own,gate_fixed
197846172,19,0.4575949223205009,133,802,795,False,False
197880776,23,0.4398702124978291,284,671,669,False,False
197885600,24,0.4566905132175636,283,451,451,False,False
197886895,27,0.377000737201141,282,872,871,False,False
197887644,7,0.7236067097639037,76,434,420,False,False
197890692,14,0.857941521992212,165,31,24,False,False
197892635,12,0.6278017058779424,235,534,515,False,False
197904448,13,0.5572387156508188,88,734,747,False,False
197935281,30,0.42556480861303536,282,469,458,False,False
197935605,17,0.4998146593131868,136,541,540,False,False
197978738,6,0.7402733452890933,95,610,603,False,False
197979354,20,0.4442024638157591,142,583,587,False,False
197982694,16,0.4636196968766826,142,890,889,False,False
197983102,10,0.6895914886341734,143,148,146,False,False
197985569,11,0.6271743767695203,128,290,293,False,False
198005341,5,0.9184932014953995,94,285,310,False,False
198073526,7,0.5930872856158512,97,949,955,False,False
198074705,11,0.5982748395484997,93,584,578,False,False
200671041,6,0.8937464198217152,106,103,104,False,False
200742257,12,0.6658395036779822,267,413,416,False,False
200745217,4,0.9933242650005892,45,108,104,False,False
200786539,7,0.8000025029103777,85,210,210,False,False
200802812,12,0.6549309817793008,91,218,212,False,False
200804116,12,0.5731288641274735,93,569,570,False,False
200807744,6,0.9027969287496743,86,320,330,False,False
198077554,7,0.7039385185407259,96,242,254,False,False
198078007,8,0.6629310915290434,81,793,788,False,False
198081001,9,0.7711261499416137,79,192,197,False,False
199729914,26,0.4725190667965522,274,308,312,False,False
200746541,11,0.7011180305598949,95,268,263,False,False
200769811,12,0.9090022890095537,269,6,6,True,True
200780252,12,0.6517231059740892,82,488,485,False,False
200782823,10,0.5625195470325952,95,840,849,False,False
201753334,5,0.9232058552414387,115,157,174,False,False
201791716,20,0.5395234568550535,256,322,325,False,False
204449384,15,0.477704528195223,136,804,811,False,False
206401237,7,0.8660771815078154,88,151,159,False,False
206402318,10,0.6437415752212077,82,168,166,False,False
206402603,12,0.4870240260759373,92,763,761,False,False
204584365,8,0.8839350335474707,64,106,83,False,False
204588986,13,0.5764126090143916,108,451,443,False,False
206350311,22,0.4500027348967297,284,638,640,False,False
206385283,8,0.5899086512911941,91,813,819,False,False
200852526,2,0.0,0,1000,1000,False,False
201365022,31,0.39130851390401244,309,467,465,False,False
201753030,26,0.39786923131957197,283,755,760,False,False
206467901,11,0.6149337439147781,83,503,493,False,False
206469812,3,0.9325459107758971,58,394,439,False,False
206474468,11,0.6075270136834754,89,487,497,False,False
206475215,11,0.48698857631390036,89,888,892,False,False
206434088,10,0.7040417920971809,82,141,143,False,False
206435948,12,0.4996496339113762,91,842,842,False,False
206466813,13,0.5213182065851006,95,542,549,False,False
206467068,13,0.6084470469249176,96,217,224,False,False
199731707,22,0.4694085389877206,262,487,477,False,False
199735746,24,0.44359025591580026,278,503,510,False,False
199735836,29,0.4170081672317676,288,660,660,False,False
200657905,16,0.6076372233281827,134,210,216,False,False
206477756,11,0.6428368837749524,81,442,445,False,False
206478479,12,0.5037364478171193,86,748,747,False,False
206492386,5,0.9619705973027204,85,129,163,False,False
206529534,30,0.39840115072773397,304,744,737,False,False
211436475,12,0.5400592883469416,109,614,596,False,False
211440800,18,0.4481301675417526,136,654,651,False,False
212377300,9,0.9157354615081431,89,366,389,False,False
212381172,10,0.6322968916726536,89,357,363,False,False
214515903,16,0.5510758465715379,131,574,579,False,False
214772289,14,0.49900653788756544,124,783,787,False,False
218960215,13,0.5781717190540336,141,478,485,False,False
207206422,22,0.42928205950233944,283,779,784,False,False
207238086,8,0.7333638600396524,96,455,442,False,False
207240752,16,0.6126535925456696,132,140,146,False,False
20923934,10,0.6762652187591743,93,287,298,False,False
206615548,18,0.44214663694801914,290,786,790,False,False
206683782,12,0.547693201530199,130,626,616,False,False
207088262,7,0.9495446362495114,129,3,6,True,True
207090424,21,0.40434596046792515,140,888,889,False,False
218967667,13,0.5168447819984003,138,544,558,False,False
218968119,15,0.5535295687869135,133,333,341,False,False
218969746,18,0.4485787707274689,137,899,900,False,False
218970269,10,0.7597643922751033,133,147,154,False,False
